answer_content,answer_id,answer_voted,question_id,user_id,user_agrees,user_edu,user_exp,user_followed,user_helped,user_interest,user_intro,user_recommends,user_saved,user_specialty,user_thanks,question_tags,question_content
may dri nose may help moistur membran  dri membran lead septal perfor  though mani caus ,289757,0,100845,10049331,"3,310",univers rochest school medicin dentistri  ny,28years,"[10003048, 11080084, 10004095, 10049991, 10005831, 11061343, 10005276, 11045923, 10014592, 10073610, 10014830, 10049981, 10007158, 12543253, 11387377, 10014285, 10049331, 11188319, 12229824, 10025116]","2,240,752",rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer,doubl board certifi facial plastic surgeon  practic facial plastic surgeri rhinolog  professor chair depart otolaryngolog univers buffalo ,would recommend patient   ent specialist,4.0,facial plastic surgeri,746,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat,use salt water nasal spray help prevent develop perfor septum
cannabi use mother  studi vanderbilt univers medic center link cannabi ectop pregnanc earli miscarriag ,1472141,0,1008600,11202683,"144,927",uniform servic univers health scienc f  edward hebert school medicin univers new hampshir nation univers,20years,"[10001527, 10056048, 11080084, 10005868, 10011107, 10013908, 10038590, 10005085, 10055016, 10038441, 10004960, 10038868, 10019047, 12111326, 10005831, 11946103, 20680097, 10538896, 10027773, 10071091]","532,064,951",sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang,practition strive address emot  physic spiritu wellb psycholog intervent  use psychiatr medic acupunctur  current servic include: comprehens assess  psychotrop medic manag  psychodynam psychotherapi  mood disord group therapi  substanc abus assess  fit duti evalu  forens evalu  work acupuncturist focus mental health issu well treat multitud physic condit injuri  current provid care depart defens beneficiari  dr  fowler receiv medic degre uniform servic univers health scienc  intern medicin internship train undersea  hyperbar medicin  radiat health naval undersea medic institut work oper submarin medic offic diver  complet resid psychiatri nation naval medic center  tour japan  guantanamo bay  cuba punctuat debrief south pole  antarctica  led navi   west coast special psychiatr rapid intervent team  provid immedi  ontheground psycholog health support follow disast  provid crisi intervent event includ diego garcia  indian ocean erupt mount pinatubo philippin  1994 los angel earthquak  remot support oper unit hurrican katrina  area special train includ domest violenc  post traumat stress disord  crisi intervent substanc abus  27 year militari servic  dr fowler current work civilian supervisori psychiatrist  acupuncturist naval health clinic new england newport  ri ,day day  dr  fowler answer scad patient question tireless manag handl one care thought  shes earn respect admir mani doc colleagu leader  one readili cheer us one human us funni folksi express dot answer  whoah nelli  inde  hat dr  fowler  physician mani colleagu admir work  surpris outstand doctor  dr  fowler someth extra almost seem magic  shes true humanitarian  consid bless part healthtap communiti  here dr  fowler  patient colleagu alik  cheer  ive opportun interact dr  fowler last sever month former avvo health websit top doc bar none  answer psychiatr question spot serv excel sourc inform nonpsychiatrist  complement overal fund general medic knowledg dispens compassion manner   wow  decid read recommend doctor write mine   five minut later still gotten bottom list   hard add must say love read dr  fowler respons  concis  point done sens compass endear sens humor   high recommend learn lot   dr  fowler conscienti contributor communiti  provid insight opinion peopl need  although mani physician perhap skeptic servic  medic inform websit provid  grow number disenfranchis peopl need help  understand  kind  dr fowler help provid three   know dr  fowler interact avvo com   read answer  cant help sens deep compass fine doctor possess   goe way answer peopl question  research topic even area expertis provid assist  dr  fowler come across great doctor wonder human,493.0,psychiatri,"38,420",infertil  smoke  pregnanc  marijuana  ganja  cannabi,wife recent 3 miscarriag  2 chemic pregnanc  one 7 week  marijuana smoker 23 week   chanc weed blame 2 year old daughter
choos first  snore otherwis sleep well problem day  may ok snore  adenoid shrink steroid 50% time  swell usual allergi  snore bedwet  daytim tired  behavior concentr problem  option keep nasonex  adenoid remov ,1453856,1,1015574,10054974,814,univers california  san francisco school medicin  ca 2002,13years,"[11188319, 12324491, 12684797, 11087604, 12543253, 11832999, 11183703, 10003568, 10014299, 10054675, 10013293, 10013880, 12363070, 10024916, 10007901, 10000008, 12346026, 11057151, 10056795, 11089553]","237,148",ear infect  snore  cochlear implant,train univers michigan otolaryngologyhead neck surgeri ent resid receiv excel train field  went fellowship addit year luri children hospit chicago gain expertis cochlear implant  complex airway problem  pediatr head neck mass  treat pediatr ent diseas common thing tongu tie  snore ear infect  complex problem hear breath  treat child 1 day old 18 year old  focus develop collabor approach child care involv provid excel educ parent make inform choic children ,dr  meyer amaz doctor #nationaldoctorsday2015 #virtualflower1  dr  meyer amaz doctor #nationaldoctorsday2015 #virtualflower1,2.0,pediatr ent head neck surgeri,260,cari  snore  enlarg adenoid  hypersensit  sleep apnea  surgeri  caviti  allergi  children  snore,7 yrs old enlarg adenoid  ent given nasonex spray   2 month two time  treatment stop snore  start snore coupl week stop med 
probabl  shbg direct involv fertil ,1469399,0,1015685,10000008,"11,826",univers connecticut school medicin  ct univers connecticut school medicin  ct,29years,"[10005831, 10003512, 11080084, 12515330, 10049935, 11079326, 10014592, 11125605, 11208135, 10000359, 11195338, 12737568, 10014305, 11196657, 11184711, 10530715, 10014353, 12324491, 10000041, 10019047]","6,573,876",child health  children health  asthma  femal health  vaccin  postpartum depress  cough  bow leg  skin rash  child allergi  autism  autism spectrum disord  mening  diabet risk  alcohol  antibiot  chickenpox  adhd  food allergi,addit 365dayayear pediatr practic  dr belilovski consult media pediatr question link interview here: http:  loldoc livejourn com  also specul fiction writer activ member sfwa  blog here: http:  loldoc net  ,dr belilovski post alway thought provok   one truli see commit passion medicin   keep great answer come   knowldeg  bow leg  postpartum depress  child health  asset health care communiti health tap  hi doc:  great virtual practic  loui gallia md  dmd  fac  good answer  provid help feedback  time precis answer  help  care answer ,22.0,pediatr,"1,700",infertil  tri conceiv  sex  steroid  hormon  fertil  pregnanc,get girl pregnant low sexual bind globulin
difficult say certain could infect someon els activ lesion either locat  use precaut tell partner risk contract herp prior relat ,1444596,0,1016700,12455774,"1,494",louisiana state univers school medicin shreveport  la,24years,"[10038868, 10000305, 11188319, 10040212, 10054675, 11827603, 11395347, 11139349, 11755506, 11996614, 12763938, 11832999, 10056780, 12647808, 10013919, 10005520, 10011658, 11051988, 11850852, 11092583]","1,408,440",cancer  dpmg histolog,attend medic school lsu medic center shreveport complet internship pediatr musc charleston  sc  complet 4 year anatom clinic patholog resid ochner foundat new orlean  privat practic mckinney  tx part propath  current medic director lab medic center mckinney  interest dermatolog well ,dr  hebert provid excel servic public via healthtap com  knowledg number area medicin  endors dr  hebert   dr  hebert excel pathologist,11.0,patholog,637,wound  cold sore  herp  sexual intercours  virus  herp simplex  sex  hsv,herp outbreak anus never notic vagin outbreak  still spread herp vagin sex anal
yes typic lower molar sometim bicuspid inflam infect pulp refer pain ear  seen axillari node swollen dental abscess ,1446092,0,1020354,11089577,"3,183",virginia commonwealth univers school medicin  va,39years,"[11080084, 11387377, 10056744, 10002907, 12229824, 11946059, 11125605, 10000408, 10005107, 10053027, 10050211, 10038570, 11447928, 11188319, 11045923, 10014676, 10014830, 10056456, 10055089, 10014428]","2,708,617",root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach,emori univers medic colleg virginia  school dentistri univers maryland endodont pacif endodont research foundat  microscop endodont general dentistri  19701975 l  pankey institut  19711973 endodont practic 1977 present lindsey hopkin dental research clinic  head  dept  endodont 19781980 dr  grossman avid sport fan everglad backcountri fisherman  main hobbi rais care japanes koi ,dr  grossman knowledg dedic dentist well thought articul answer   excel info,10.0,endodont,"1,466",earach  tooth abscess  dentistri,abcess tooth caus pain ear axillari lymph node swell
feel free pull well  doesnt sound like anyth wrong  sure ask surgeon see postop visit ,1449044,0,1026339,11061343,"10,787",univers arizona colleg medicin  az,26years,"[7569692, 7553169, 7401832, 11080084, 10055016, 10538896, 11193644, 10073610, 7430770, 12324491, 10014285, 10014441, 11946103, 11395347, 11447928, 11755506, 10013299, 11045923, 10014428, 10000059]","7,610,742",hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri,dr  earl director minim invas surgeri baystat medic center  involv hernia repair type  esophag disord  involv heavili educ  guidelin develop devic develop  also interest experienc intern surgic volunteer  photographi  mountain ,enjoy read dr  earl answer find agre often learninfg someth   clear  thorough date   recommend excel resourc surgic question  surgic expert knowledgeablegroin hernia  hiatal hernia  hernia repair  hernia  gastroesophag reflux diseas  fortun contribut health tap communiti   fast  fantast answer often complex question  truli asset medic communiti  true nation leader general surgeri   recommend well know expert field   dr jakavick would recommend dr seek expertis   dr  earl alway provid reliabl  excel accur answer  georg klauber  excel person surgeon  high regard expert reflux treatment,21.0,general surgeri,"2,080",groin hernia  lump groin  hernia  hydrocel  inguin hernia  surgeri,two week ago surgeri left inguin hernia hydrocel marsupi    left testicl posit top scrotum   drop normal posit later
question would chest pain year ago peopl profound unhappi spoke heartach  kind deep sad experienc dull ach chest  lack physic caus  might review histori see there caus hurt ,1538241,0,1027564,12103170,"1,671",univers buffalo  state univers new york school medicin  biomed scienc  ny,52years,"[10530701, 10045171, 10019047, 10055089, 10014344, 10050211, 11045923, 10014428, 10057039, 10014033, 10000059, 10532678, 26076779, 12355789, 12716366, 11832999, 11682263, 11365213, 11996614, 10000414]","948,351",panic attack  adhd  anxieti disord  ptsd,tell us background  specialti  interest   ,dr  amnet knowledg compassion doctor give practic sensibl advic  enjoy read answer  high recommend   dr ament provid valuabl servic public health tap  respons inform help  recommend dr  ament   enjoy dr  ament direct  tothepoint answer wide breadth knowledg   hes great asset healthtap communiti  dr ament clear experienc  high knowledg  compassion physician  great answer health tap ,6.0,psychiatri,358,stress  heart diseas  chest pain  heart attack  stroke  chest pressur  cardiac arrest  chest tight  cerebr vascular accid  myocardi infarct,still worri chest pain even normal 2deho jan 2013  ecg  treadmil stress test im alway think heart attack stroke
hiv mean get hiv  gonorrhea  chlamydia  syphili three hepat virus trichomona done right test focus one std,1575901,2,1032744,10532678,"22,537",univers utah school medicin  ut,22years,"[11946179, 12515330, 10049935, 11125605, 11208135, 10000359, 11195338, 10014305, 10057975, 11196657, 12271864, 10038441, 10002907, 11183952, 10064429, 10038868, 10019047, 10000408, 11827603, 10049933]","327,059,582",human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health,general practic physician  truli believ primari care famili model  practic ask mani question ask  like teach much possibl  believ patient hear answer question  tri work partner patient  tri empow know much possibl bodi  also special men health issu includ male age  addict  sexual stds  area expertis includ lgbt medicin hiv medicin  signific experi hospic care advoc sane approach drug war teach write harm reduct  feel work call get signific spiritu benefit mni work  grew mormon issaquah  washington  father two son grandfath newli born babi girl ,high recommend dr  killian dedic excel straightforward respons healthtap  clear knowledg area human sexual sexual transmit diseas well men health  excel addit healthtap team   see dr k line often give expert knowledg advic varieti topic includ : human immunodefici virus  sexual transmit infect  aid  gay  lesbian transgend health  men health  major contribut health tap communiti   dr  killian vast amount knowledg great abil separ wheat chaff answer question clariti wit  appreci learn much im sure reader    dr  killian inform  clear  compassion interest  look forward see repli comment  alway learn thing help often thought provok  great resourc  dr  killian knowledg answer great resourc patient health tap   find learn lot read entri   outstand point answer advic  obvious knowledg  care dedic doctor ,537.0,general practic,"17,350",human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help
yore good im glad yore infect  perhap experi  yoll decid move perhap form cherish real relationship  mani csws commerci sex worker   prostitut end life happi  think stay away scene altogeth  sake ,1575885,2,1032744,10038619,"39,410",northwestern univers feinberg school medicin  il,39years,"[11080084, 10003512, 10056744, 10057041, 11682263, 10038441, 10005107, 10040212, 10049991, 10007158, 11447928, 10009095, 11045923, 10056456, 11158724, 10045171, 10003619, 10049366, 10530715, 11168851]","137,351,056",cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia,human background boardcertif anatom patholog  clinic patholog  ringsid medicin  patholog guy accident creat one first medic site provid inform individu 1990s  headi time handl 2030 question like per day  http:  www pathguy com remain popular site patholog teacher  learner  curious public  chair patholog depart kansa citi univers medicin bioscienc sinc februari 1992  medic school roommat  distinguish radiologist joe panella md  describ loner know doesnt whistl  patholog guy glad see mani colleagu answer public question  keep teammat  love medicin  love humankind ,delight read dr  friedland post  direct advic person clear  hes kind tell like  without waffl   also recogn full well deserv respect  frank  honesti dose wisdom  whether patient  public  peer   knowledg capabl convey thought clear way  uncommon gift empathi ask question  yet answer direct unhesit  pleasur read respons learn  pathologist find refresh convers live  dr  friedland excel physician realli know talk  sincer happi connect healthtap  high recommend dr  friedlander: straightforward excel answer great resourc patient  drs  thank dr  friedland   dr friedland extrem knowledg physician continu give superb advic incred rang medic condit  hi9 answer alway accur  total reliabl  fortun colleagu healthtap   former student dr  friedland say quit brilliant quick often insight help wittic   great love medicin  believ  even greater love teach medicin other   knowledg individu  privileg attend patholog cours medic student kansa citi  mo  appreci contribut educ valu solid core foundat contribut provid ,258.0,patholog,"13,141",human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help
