answer_content,answer_id,answer_voted,question_id,user_id,user_agrees,user_edu,user_exp,user_followed,user_helped,user_interest,user_intro,user_recommends,user_saved,user_specialty,user_thanks,question_tags,question_content
yore good im glad yore infect  perhap experi  yoll decid move perhap form cherish real relationship  mani csws commerci sex worker   prostitut end life happi  think stay away scene altogeth  sake ,1575885,2,1032744,10038619,"39,410",northwestern univers feinberg school medicin  il,39years,"[11080084, 10003512, 10056744, 10057041, 11682263, 10038441, 10005107, 10040212, 10049991, 10007158, 11447928, 10009095, 11045923, 10056456, 11158724, 10045171, 10003619, 10049366, 10530715, 11168851]","137,351,056",cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia,human background boardcertif anatom patholog  clinic patholog  ringsid medicin  patholog guy accident creat one first medic site provid inform individu 1990s  headi time handl 2030 question like per day  http:  www pathguy com remain popular site patholog teacher  learner  curious public  chair patholog depart kansa citi univers medicin bioscienc sinc februari 1992  medic school roommat  distinguish radiologist joe panella md  describ loner know doesnt whistl  patholog guy glad see mani colleagu answer public question  keep teammat  love medicin  love humankind ,delight read dr  friedland post  direct advic person clear  hes kind tell like  without waffl   also recogn full well deserv respect  frank  honesti dose wisdom  whether patient  public  peer   knowledg capabl convey thought clear way  uncommon gift empathi ask question  yet answer direct unhesit  pleasur read respons learn  pathologist find refresh convers live  dr  friedland excel physician realli know talk  sincer happi connect healthtap  high recommend dr  friedlander: straightforward excel answer great resourc patient  drs  thank dr  friedland   dr friedland extrem knowledg physician continu give superb advic incred rang medic condit  hi9 answer alway accur  total reliabl  fortun colleagu healthtap   former student dr  friedland say quit brilliant quick often insight help wittic   great love medicin  believ  even greater love teach medicin other   knowledg individu  privileg attend patholog cours medic student kansa citi  mo  appreci contribut educ valu solid core foundat contribut provid ,258.0,patholog,"13,141",human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help
negat hiv ,1874004,1,1032744,11885554,"16,052",univers toledo colleg medicin  oh,32years,"[7569692, 7401832, 10038868, 10071091, 11447928, 10056546, 11193644, 11050720, 11126794, 10073610, 10014830, 10052334, 10014441, 12770019, 11387377, 12653404, 10004448, 10013293, 11204938, 10052353]","18,555,109",diabet  women health  hyperlipidemia  hypertens,famili practic deal type problem,impress dr  minich point answer knowledg  depth  wit  kind   high recommend anyon look care   servic specialti without reserv      jame chinti lin    dr  minich dedic doctor  activ answer complex medic question compass  insight  provid practic solut  recommend patient  great healthteam expert   high endors dr  dian mimich expert field asset healthtap communiti expert  knowledg  insight empathet  think asset  physician panel   learn great deal dr  minich healthtap learn great deal thought  expert  help answer patient  look forward learn  recommend dr  minich  provid valuabl servic public via healthtap  provid sensibl  accur respect input  endors dr  minich   dr  minich extrem knowledg physician obvious care great patient health  terrif asset healthtap communiti,56.0,famili medicin,"3,086",human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help
tough situat notic yore clench lot  day  night  let mom know well lab made occlus guard made  anoth option go local drug store buy boil bite applianc like doctor night guard give tri  hope help ,1470925,1,1038621,11092382,"1,879",nan,26years,"[11080084, 11387377, 11089577, 10002907, 11832999, 11109271, 11183952, 12543253, 10057039, 20596297, 10075023, 10000094, 12515014, 11069799, 12292890, 10531157, 11089553, 11951132, 11185887, 11399024]","1,607,761",nan,nan,dr  jalal knowledg  kind  trustworthi  dedic  compet dentist  trust  famili   relat patient   thank year altruist dedic art scienc   wonder dentist  great dentist,3.0,dentistri,619,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 
systemat someth get better stress someth alway hurt  muscl pull jaw lead pain point attach bone  inflamm type pain respond anti inflammatori drug like aspirin  ibuprofen naproxen  ebb subsid pain differ day time ii probabl due stress  constant pain like infect ,2325457,0,1038621,12602845,149,univers minnesota school dentistri  mn,28years,"[11125605, 10531157, 11089553, 12551127]","132,326",botox  sleep apnea  endodont  dental implant  cerec,complet implant seminar implant continuum seri 1 2011 continuum seri 2 master seri 2012 dentaspa seminar botox derma filler cours d1 d3 lip prp advanc train 2013  take read cone beam dental ct scan sinc 2011  cerec owner sinc 2004 ,dr  andrea amaz doctor #nationaldoctorsday2015 #virtualflower1  dr  andrea amaz doctor #nationaldoctorsday2015 #virtualflower1,1.0,dentistri,71,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 
tmj area note relat muscl spasm result bad bite   one sign tmj dysfunct  pleas see dentist train diagnos treat mani issu part tmd ,1479354,1,1041580,12292827,893,tuft univers school dental medicin,42years,"[11125605, 11183703, 12790320, 12363070, 12292890, 12281633, 11089553, 11446948, 26122730, 11153491, 12582025, 12558086]","526,145",sleep apnea  tmj syndrom  cosmet dentistri,dr  mark birnbach earn b  queen colleg cuni  dmd tuft univers  graduat  dr  birnbach spent year practic dentistri switzerland  return state  establish dental practic  concentr aesthet cosmet dentistri  creek side locat sinc 1977  taken 3 500 hour continu educ  one dentist world complet full mouth reconstruct cours las vega institut advanc dental studi  mark instructor  conduct dental seminar aesthet dentistri thrice award clinician year boulder dental studi club  spare time  mark like get take advantag live beauti area     enjoy fresh powder mountain winter  ride road bike jamestown  carter lake  rabbit mountain  avon top vail pass particip fund rais ride like davi phinney road victori bicycl classic support parkinson research buffalo classic centuri ride fund raiser scholarship cu student  also enjoy travel take photo mani memor place hes fortun enough visit ,great doc,1.0,cosmet dentistri,185,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha
could tmj area mention common tmd  see tmj expert exam  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr ,2230610,0,1041580,12543253,"13,246",univers washington school medicin  wa univers pittsburgh school dental medicin  pa,40years,"[7569692, 12838194, 7553169, 12838195, 7401832, 10001527, 10056048, 10005868, 10011107, 10013908, 10038441, 11946103, 20680097, 11447928, 10056546, 11193644, 10073610, 10014830, 10052334, 10005507]","7,734,960",oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur,dmd  md  fac  licens medicin dentistri  board certifi oral  maxillofaci surgeri  otolaryngolog head  neck surgeri  facial plastic reconstruct surgeri  past full time faculti uc davi medic center  sacramento  ca  current clinic faculti univers washington school dentistri  seattl  wa  practic consist tmj facial pain disord  facial plastic reconstruct surgeri  current full time privat practic sacramento  ca  87 scripp drive  suit 112  sacramento  ca 95825  offic phone 9165703088 ,train  licens   board certifi medic otolaryngolog facial plastic  reconstruct surgeri dental oral  maxillofaci surgeri dr gallia possess incred impress breadth train  knowledg  experi field   answer question clear  precis   help pleasur recommend high inde   although live far dr lou  chanc see recommend  accolad patient satisfact  high recommend dr lou experi  recognit nation devot communiti patient   great doctor  get right point  address issu straightforward manner tell follow  could want  glad healthtap com  impress tmj expertis   known dr  gallia extrem knowledg oral surgeon pleas way teat patient   hesit recommend   dr  gallia expert field high recommend search answer relat ent  maxillofaci  tmj  relat area interest  basic surgeon  best best experi oral surgeon mani addit specialti  definit good hand high recommend,11.0,oral maxillofaci surgeri,"1,445",chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha
pain tooth sound like infect abcess tooth  antibiot reliev symptom temporarili  need see dentist tooth treat ,1495098,1,1053684,10528823,"3,227",univers pittsburgh school dental medicin,46years,"[11089577, 10002907, 11125605, 12790320, 11946103, 11183703, 11188319, 10014830, 12743300, 11996614, 12543305, 12611546, 11499112, 12770740, 11144895, 10075023, 11060227, 11109271, 12543253, 10007201]","1,798,869",tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant,nan,dr  rubenstein high knowledg compassion doctor  enjoy read answer  recommend   dedic dentist year knowledg experi   great dentist ,9.0,dentistri,725,swollen gland  enlarg lymph node  enlarg gland  antibiot,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 
yes ibuprofen yes ibuprofen ,1495093,1,1053684,10013718,340,unknown,17years,"[10023207, 10011614, 11667781, 7327127, 7442027, 7443952, 7450139, 7774240, 7327952]","214,710",diabet type 2  obes,nan,dr  desai amaz doctor #nationaldoctorsday2015 #virtualflower1  dr  desai amaz doctor #nationaldoctorsday2015 #virtualflower1,1.0,famili medicin,217,swollen gland  enlarg lymph node  enlarg gland  antibiot,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 
classic tmj classic tmj symptom  see tmj specialist  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr ,2231869,0,1061385,12543253,"13,246",univers washington school medicin  wa univers pittsburgh school dental medicin  pa,40years,"[7569692, 12838194, 7553169, 12838195, 7401832, 10001527, 10056048, 10005868, 10011107, 10013908, 10038441, 11946103, 20680097, 11447928, 10056546, 11193644, 10073610, 10014830, 10052334, 10005507]","7,734,960",oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur,dmd  md  fac  licens medicin dentistri  board certifi oral  maxillofaci surgeri  otolaryngolog head  neck surgeri  facial plastic reconstruct surgeri  past full time faculti uc davi medic center  sacramento  ca  current clinic faculti univers washington school dentistri  seattl  wa  practic consist tmj facial pain disord  facial plastic reconstruct surgeri  current full time privat practic sacramento  ca  87 scripp drive  suit 112  sacramento  ca 95825  offic phone 9165703088 ,train  licens   board certifi medic otolaryngolog facial plastic  reconstruct surgeri dental oral  maxillofaci surgeri dr gallia possess incred impress breadth train  knowledg  experi field   answer question clear  precis   help pleasur recommend high inde   although live far dr lou  chanc see recommend  accolad patient satisfact  high recommend dr lou experi  recognit nation devot communiti patient   great doctor  get right point  address issu straightforward manner tell follow  could want  glad healthtap com  impress tmj expertis   known dr  gallia extrem knowledg oral surgeon pleas way teat patient   hesit recommend   dr  gallia expert field high recommend search answer relat ent  maxillofaci  tmj  relat area interest  basic surgeon  best best experi oral surgeon mani addit specialti  definit good hand high recommend,11.0,oral maxillofaci surgeri,"1,445",headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help
sleep apnea rx may consid see someon evalu sleep apnea sleep studi  oral cpap mean treat problem  depend upon sever sleep studi result patient abl toler ,1504530,0,1068136,11453636,531,washington univers  st  loui mo,40years,"[11762547, 12543253, 11183952, 10014299, 12543305, 10045482, 10532653, 11487413, 11206386, 12404971]","520,373",tmj syndrom  pain manag  orthodontia  periodont,treat acut chronic head neck pain patient stabl relationship use orthot  physic medicin  tmj orthodont  use perio protect method treat bacteria caus gum diseas associ system inflammatori diseas ,great dentist,1.0,dentistri,257,snore  sleep apnea  snore,hi    way get rid snore   mom srver problem snore   
sure sure  tri  may work  symptom better wors  stop immedi    self treat soft diet  jaw exercis  massag  heat cold  otc pain med ,2229645,0,1070644,12543253,"13,246",univers washington school medicin  wa univers pittsburgh school dental medicin  pa,40years,"[7569692, 12838194, 7553169, 12838195, 7401832, 10001527, 10056048, 10005868, 10011107, 10013908, 10038441, 11946103, 20680097, 11447928, 10056546, 11193644, 10073610, 10014830, 10052334, 10005507]","7,734,960",oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur,dmd  md  fac  licens medicin dentistri  board certifi oral  maxillofaci surgeri  otolaryngolog head  neck surgeri  facial plastic reconstruct surgeri  past full time faculti uc davi medic center  sacramento  ca  current clinic faculti univers washington school dentistri  seattl  wa  practic consist tmj facial pain disord  facial plastic reconstruct surgeri  current full time privat practic sacramento  ca  87 scripp drive  suit 112  sacramento  ca 95825  offic phone 9165703088 ,train  licens   board certifi medic otolaryngolog facial plastic  reconstruct surgeri dental oral  maxillofaci surgeri dr gallia possess incred impress breadth train  knowledg  experi field   answer question clear  precis   help pleasur recommend high inde   although live far dr lou  chanc see recommend  accolad patient satisfact  high recommend dr lou experi  recognit nation devot communiti patient   great doctor  get right point  address issu straightforward manner tell follow  could want  glad healthtap com  impress tmj expertis   known dr  gallia extrem knowledg oral surgeon pleas way teat patient   hesit recommend   dr  gallia expert field high recommend search answer relat ent  maxillofaci  tmj  relat area interest  basic surgeon  best best experi oral surgeon mani addit specialti  definit good hand high recommend,11.0,oral maxillofaci surgeri,"1,445",dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj
end stage  dementia equal devast ,209993,2,111973,10057667,"9,804",templ univers school medicin  pa,30years,"[10038677, 10015091, 12515330, 10049935, 10530701, 10014592, 11208135, 10038441, 10013875, 10530715, 11188319, 11374101, 10019047, 10049933, 10004634, 10006323, 11499250, 11889558, 11045875, 12229824]","5,518,098",depress  schizophrenia  addict  panic attack,born alexandria  louisiana  graduat templ medic school 1985 complet psychiatr resid templ univers hospit 1989  board certifi psychiatri geriatr psychiatri  wide rang interest includ psychopharmacolog  forens psychiatr correct psychiatri  current privat practic lafayett  louisiana  dr  uhrich also medic director freedom recoveri center acadiana dauter hospit pathway program  first psychiatrist bring tms lafayett ,great doctor  consist give thought  insight expert advic   answer patient question time manner   knowledg  high recommend enthusiast help clientsdav  knowledeg care answer,8.0,psychiatri,739,dementia  alzheim diseas  vascular dementia,vascular dementia wors alzheim   end stage
order moral responsabl explain result ,1565703,0,1119837,10040263,"1,891",loma linda univers school medicin  ca,31years,"[10005831, 10038577, 10075023, 11045923, 10054675, 11950832, 11089570, 10049275, 11364968, 10003690, 10049374, 12701287, 11951132, 10006462, 10523675, 12672892, 10049971, 20535081, 12783203, 10045399]","1,059,132",sleep  ear infect,dr  riney take care children sinc 1982  30 year hand experi teach doctor care children parent  happi help anyon child adhd development delay ,dr  riney amaz doctor #nationaldoctorsday2015 #virtualflower1  dr  riney amaz doctor #nationaldoctorsday2015 #virtualflower1,5.0,pediatr,405,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem
drug allergi dymptom given antihistamin reducevth swell  benadryl common use ,1578505,0,1127280,11375063,"19,043",univers bern switzerland,53years,"[11080084, 10073610, 11387377, 10002907, 10057041, 12229824, 11827603, 11125605, 11889558, 10000408, 11146675, 11447928, 11755506, 11188319, 11045923, 12756606, 10049366, 10530715, 10003048, 12790320]","54,997,184",children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi,correct bio: wife live skoki  illinoi  practic park ridg  4 children marri 21 grandchildren 22 greatgrandchildren  2012  longer practic northshor hospit,dr  oscar novick excel pediatrician demonstr widebreadth knowledg across medic specialti  respons concis  practic  insight look forward read  addit kind care reflect answer  happi dr  novick colleagu healthtap  like  admir dr  novick vast passion  compass  wealth specialti knowledg  keen instinct conjectur use solut beyond avail fact     recommend without reserv anyon need specialti care servic      jame chinti lin    dr novick clear outstand knowledg pediatr  provid excel servic public via healhtap  inform provid understand  accur  compassion  endors dr  novick   excel well thought answer  excel resourc patient asset healthtap  anybodi take person time  answer patient question without anyth return fine   alway amaz breadth knowledg pediatr obvious answer onlin presenc  expert pediatr valu health tap communiti  dr novick highest recommend  well respect pediatrician communiti great see  expertis insight share health tap,170.0,pediatr,"10,042",abscess  swollen eye  lip swell  facial swell  antibiot  facial,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay
see sickl cell trait possibl  consid hemoglobin electrophoresi ,1621991,0,1170926,12595501,971,ponc school medicin pr ponc school medicin  pr,24years,"[11755506, 10530715, 10049933, 10014033, 20596297, 12708459, 12611546, 10002907, 12448499, 10055641, 12763938, 11043668, 12647808, 12515014, 12792476, 11520083, 10038721, 11412554, 12728603, 12631785]","2,154,161",dizzi  back pain  fibromyalgia,certifi rheumatologist 2001  teach resid privat practic upstat ny ,dr  morel amaz doctor #nationaldoctorsday2015 #virtualflower9  dr  morel amaz doctor #nationaldoctorsday2015 #virtualflower1  dr  morel amaz doctor #nationaldoctorsday2015 #virtualflower1  dr  morel amaz doctor #nationaldoctorsday2015 #virtualflower1  look like know hes im go make mine  quick clear answer,9.0,rheumatolog,739,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang
neurologist symptom neurolog scatter  concern demyelin diseas multipl sclerosi may present  recommend see neurologist evalu treatment ,1640309,0,1190808,12526618,"6,899",tuft univ,56years,"[11061343, 20596297, 12790320, 12754694, 12355444, 11144895, 25835273, 12709733, 12770740, 11195338, 12763938, 11060227, 11125605, 12593911, 11194676, 11499112, 12456431, 11916444, 11199337, 12515014]","6,086,887",nan,nan,shoulder imping  start pain armpit shoulder  abl detect pain put chin chest  didnt mention imping  hes right   alway answer quick night scare help calm feel bless brilliant dr  reach ask anyth   answer back quick even though didnt get answer want  great help  im glad answer question puzzl  peac mind  much oblig dr colantino prompt instruct inform   dr  colantino amaz doctor #nationaldoctorsday2015 #virtualflower1,37.0,intern medicin,"3,299",dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss 
yes parkinson diseas dementia occur progress diseas  everybodi becom dement  depress might occur begin diseas later diseas process ,184890,2,119966,10071091,"7,295",illinoi school profession psycholog argosi univers,10years,"[11080084, 10073610, 10003512, 10056744, 11682263, 10523999, 10038441, 10005107, 10040212, 10056048, 10049991, 10007158, 10009095, 11045923, 10014830, 10056456, 10000059, 10045171, 10004634, 10001527]","4,204,947",depress  feel anxious  sleep hygien  stress manag,nan,dr fox shown compass insight encount   knowledg insight keen  answer money     high recommend dr fox clinic person skill   concis answer  compass experi get dr fox answer one question   great valu healthtap communiti  dr  fox provid wealth inform  accur  compassion answer patient question healthtap   shes great asset site  dr  fox excel compassion   psychologist  alway best intent patient mind    dr fox provid excel inform clinic psycholog healthtap  recommend dr  fox   great answer comprehens expertis patient colleagu learn,15.0,clinic psycholog,819,depress  dementia  parkinson diseas,parkinson symptom braindo caus dementia depress
sever headach go checkup sinc mening   mani caus headach rule  take care ,1661344,0,1215805,10049935,"7,859",univers santo toma faculti medicin surgeri  philippin,49years,"[10530701, 10004464, 11193644, 10014592, 12770019, 11079326, 10003048, 10057041, 10013293, 10001527, 10052353, 10014353, 10056048, 10074501, 10049933, 11195338, 10004448, 10038570, 11080084, 10002907]","8,136,063",barium swallow xray,pediatr general practic 36year serv 45 generat semiretir medic mission everi 2 year  found u palawan medic mission group chariti organ 501 c 3 ir code  practic locat bucktown   corner damen  armitag  lot garden   travel   cook fundrais mission  slow activ instead enjoy part  time medic practic husband henri ,recommend well know expert field   dr jakavick would recommend dr seek expertis   recommend doctor   insight learn someth new answer  answer patient question time manner   knowledg  give great advic  kind   high recommend   time accur respons   dedic  knowledg  care ,12.0,pediatr,"1,771",dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better
bacteria sick bacteri infect  pleas contact physician ,1680495,0,1227858,10532678,"22,537",univers utah school medicin  ut,22years,"[11946179, 12515330, 10049935, 11125605, 11208135, 10000359, 11195338, 10014305, 10057975, 11196657, 12271864, 10038441, 10002907, 11183952, 10064429, 10038868, 10019047, 10000408, 11827603, 10049933]","327,059,582",human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health,general practic physician  truli believ primari care famili model  practic ask mani question ask  like teach much possibl  believ patient hear answer question  tri work partner patient  tri empow know much possibl bodi  also special men health issu includ male age  addict  sexual stds  area expertis includ lgbt medicin hiv medicin  signific experi hospic care advoc sane approach drug war teach write harm reduct  feel work call get signific spiritu benefit mni work  grew mormon issaquah  washington  father two son grandfath newli born babi girl ,high recommend dr  killian dedic excel straightforward respons healthtap  clear knowledg area human sexual sexual transmit diseas well men health  excel addit healthtap team   see dr k line often give expert knowledg advic varieti topic includ : human immunodefici virus  sexual transmit infect  aid  gay  lesbian transgend health  men health  major contribut health tap communiti   dr  killian vast amount knowledg great abil separ wheat chaff answer question clariti wit  appreci learn much im sure reader    dr  killian inform  clear  compassion interest  look forward see repli comment  alway learn thing help often thought provok  great resourc  dr  killian knowledg answer great resourc patient health tap   find learn lot read entri   outstand point answer advic  obvious knowledg  care dedic doctor ,537.0,general practic,"17,350",sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 
either virus bacteria like bacteria  test strep  depend sexual activ gonorrhea ,1680517,0,1227858,12605539,294,yale univers school medicin  ct,20years,"[10071091, 10005209, 10523999, 11060227, 12120131, 12647755, 10056788]","351,938",health educ  exercis  nutrit  supplement  aerob exercis  sport medicin,nan,dr  london vast fund knowledg allow effect contribut onlin communiti health ,3.0,famili medicin,158,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 
talk dentist feel pressur chanc might grind teeth import look caus solut easi find  recent research say grind sleep disord may link  would look area  good luck ,2152247,1,1227918,10524706,210,govt dental collag ahmedabda  india  ucla ext1977,43years,"[12790320, 11499112, 11089784, 12440126]","212,273",mouth brace  orthodontia,privat practic sinc last 35 year ,great doctor  consist give thought  insight expert advic ,1.0,dentistri,108,dizzi  headach  tmj syndrom  wisdom teeth,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth
combin tmj wisdom teeth  see oral surgeon well qualifi dentist examin treatment option   ,1680862,1,1227918,11359708,"1,422",new york univers colleg dentistri nyu,4years,"[10073610, 12543253, 11387377, 11183952, 10058367, 11109271, 11045923, 12763938, 10075023, 11060227, 12773217, 11359708, 11940386, 11184411, 26122730, 11503678, 11183601, 11184419, 11050044, 12372400]","1,524,483",root canal  oral surgeri  dental implant  child health  cosmet dentistri  teeth,https:  www healthtap com www todaysdentalgroup com,great doctor  consist give thought  insight expert advic ,4.0,dentistri,504,dizzi  headach  tmj syndrom  wisdom teeth,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth
appropri therapi buddi tape broken finger normal finger accept form treatment  care must taken appli tape tight  otherwis possibl cut blood suppli  simpl evalu finger tape tell problem  finger appear discolor  pain swollen  take tape reappli loos ,1685306,0,1230871,12647785,,philadelphia colleg osteopath medicin  pa,16years,,"2,706",nan,nan,dr  bryant amaz doctor #nationaldoctorsday2015 #virtualflower1,,emerg medicin,2,circul,fractur finger doctor use method tape finger next tape  cut circul blood
