question_id,question_content,question_tags
100845,use salt water nasal spray help prevent develop perfor septum,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1008600,wife recent 3 miscarriag  2 chemic pregnanc  one 7 week  marijuana smoker 23 week   chanc weed blame 2 year old daughter,infertil  smoke  pregnanc  marijuana  ganja  cannabi
1015574,7 yrs old enlarg adenoid  ent given nasonex spray   2 month two time  treatment stop snore  start snore coupl week stop med ,cari  snore  enlarg adenoid  hypersensit  sleep apnea  surgeri  caviti  allergi  children  snore
1015685,get girl pregnant low sexual bind globulin,infertil  tri conceiv  sex  steroid  hormon  fertil  pregnanc
1016700,herp outbreak anus never notic vagin outbreak  still spread herp vagin sex anal,wound  cold sore  herp  sexual intercours  virus  herp simplex  sex  hsv
1020354,abcess tooth caus pain ear axillari lymph node swell,earach  tooth abscess  dentistri
1026339,two week ago surgeri left inguin hernia hydrocel marsupi    left testicl posit top scrotum   drop normal posit later,groin hernia  lump groin  hernia  hydrocel  inguin hernia  surgeri
1027564,still worri chest pain even normal 2deho jan 2013  ecg  treadmil stress test im alway think heart attack stroke,stress  heart diseas  chest pain  heart attack  stroke  chest pressur  cardiac arrest  chest tight  cerebr vascular accid  myocardi infarct
1032744,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help,human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv
1032792,help doctor say excess ejacul masturb increas hormon level  dht product bodi caus bald depress  ,bald  depress  hair loss  hormon  masturb  ejacul  dihydrotachysterol  dht  melancholia  dermatolog
1034457,im 68 visibl blue vein left breast  noth right  mammogram 4 mos ago breast exam doc 3 mos   vein sign bc,digit mammogram  mammogram  breast exam
1037101,mom 72 breast cancer spread brain reciv hyperbar oxygen therapi larg knot upper thigh im concern,hyperbar chamber  hyperbar oxygen therapi  procedur hbot
1038621,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open ,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri
1039854,better altern risperidon  given side effect  discuss mom doc  tia develop occassion hallucin  lewi bodi dementia parkinson ,vascular dementia  parkinson diseas  dementia lewi bodi  cholinesteras inhibitor  antipsychot
1041580,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag
1050637,notic squat knee joint make weird crack nois   doesnt hurt sound like im crack knuckl  strech almost daili ,
1053684,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth ,swollen gland  enlarg lymph node  enlarg gland  antibiot
1061385,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help,headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo
106560,need mammogram breast ultrasound,breast cancer  cancer  calcium  biopsi  repeat ultrasound  ultrasound breast  sonogram  mammogram  digit mammogram
1068136,hi    way get rid snore   mom srver problem snore   ,snore  sleep apnea  snore
1068332,cut kitchen knife tuesday  yesterday woke sore throat difficulti  swallow  today stiff jaw tetnaus anoth infect cut,throat pain  sore throat  stiff  swallow disord  difficulti swallow
1068721,bump like zit rim head peni white forev never paid attent normal wro,acn  pimpl
1070644,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj,dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo
107957,use nasal spray help treat deviat septum,headach  deviat nasal septum  shock  surgeri  rhinoplasti  oxymetazolin  ent head neck surgeri  ear nose throat  cartilag
1100914,sleep studi done child noth found sleep apena diagnos today think tmj seroquel chang breath talk pcp,tmj syndrom  sleep apnea  apnea  sleep studi  seroquel  quetiapin  children  sleep
1103209,anyon know  hallux valgushamm toe correct surgeri  doctor arrang plaster pari bandag upto knee ,bunion  hammer toe repair  bunion repair  hammerto correct  bunion remov  surgeri  hammer toe  hallux valgus  foot surgeri
1106201,way reduc loud someon snore complet stop snore,snore  sleep apnea  snore
1106815,overthecount med joint pain ankl  knee  wrist  etc,joint pain
111973,vascular dementia wors alzheim   end stage,dementia  alzheim diseas  vascular dementia
1119837,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin
1127280,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay,abscess  swollen eye  lip swell  facial swell  antibiot  facial
1156967,root canal fill near 12 mth ago  abscess tooth  face swollen etc neck seem take amoxicillin day,wound  abscess  antibiot  molar tooth  amoxil  amoxicillin  root canal
1159440,botox tmj spasm month ago  know botox wea  possibl itll give muscl chanc heal  effect b longterm,tmj syndrom  botox  xeomin
1165353,get cold sore  transmit hsv1 someon genit oral sex dont cold sore,cold sore  herp simplex  sex
1170123,cant tell  left jaw right back curv may ever slight swollen  swollen gland anywher els   tmj issu   concern,tmj syndrom  enlarg lymph node  swollen gland  enlarg gland
1170358,neck knee arthritus  want whole bone structur evalu  type doctor call,arthriti
1170926,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron
1178780,gum left cheek swollen decay wisdom tooth dentist doesnt want remov still swell  mani day last,
11795,type herp simplex virus caus cold sore,herp  cold sore  hsv  low temperatur  sex  travel  virus  nerv  herp simplex
118745,question bladder  frequenc  urgenc  occasion incontin  uti  bladder pelvic floor prolaps   ,urinari tract infect  urinari urgenc  incontin  urinari urgenc  age grace  estrogen  diet  caffein  hormon  bladder
1189507,best medicin anxieti im celexa doesnt work  constant fear heart attack like father ,feel anxious  heart attack  myocardi infarct  cardiac arrest  citalopram  celexa  anxieti
1190808,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss ,dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori
119966,parkinson symptom braindo caus dementia depress,depress  dementia  parkinson diseas
1214669,brief episod pulsatil tinnitus left ear upon stand   multipl normal 3t mri cta head neck headach  normal bp weigh ,headach  magnet reson imag  mri  ring ear  tinnitus  cta  blood pressur
1215805,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better,dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot
1216490,got test last week stds  receiv txt say syphili negat howev noth regard hiv test chlamydia yet negat sign,sexual transmit infect  std  chlamydia infect  human immunodefici virus  syphili  hiv  hiv test
1216531,swollen cheek  jaw gum left side  dentist provid amoxicillin metronidazol  toothach    what wrong,tooth pain  metrocream  norit  metronidazol  trikacid  flagyl er  flagyl  amoxil  amoxicillin
1216868,bleed butt  hemorrhoid  tear  constip  come insid  bright red ,constip  hemorrhoid  anal swell
1219903,upper left abdomin pain year went doc 6 month ago us didnt see anyth go super busi  dont want unecessari bill,abdomin discomfort  abdomin pain  belli pain
