answer_content,answer_id,answer_voted,question_id,user_id,user_agrees,user_edu,user_exp,user_followed,user_helped,user_interest,user_intro,user_recommends,user_saved,user_specialty,user_thanks,question_tags,question_content
you're good i'm glad you're not infected perhaps after this experience  you'll decide to move on and perhaps form a cherish a real relationship many csw's (commercial sex workers / prostitutes) have ended up in this life against their will and are not happy think about staying away from the scene altogether  both for your sake and theirs,1575885,2,1032744,10038619,"39,410",northwestern university feinberg school of medicine  il,39years,"[11080084, 10003512, 10056744, 10057041, 11682263, 10038441, 10005107, 10040212, 10049991, 10007158, 11447928, 10009095, 11045923, 10056456, 11158724, 10045171, 10003619, 10049366, 10530715, 11168851]","137,351,056",[u'cancer'  u'acne'  u'human immunodeficiency virus'  u'nutrition'  u'female health'  u'child health'  u'breast cancer'  u'male health'  u'vitamin deficiency'  u'breast carcinoma'  u'pap smear'  u'scars'  u'exercise'  u'anemia'  u'lung cancer'  u'iron deficiency anemia'],with a humanities background and board-certifications in anatomic pathology  clinical pathology  and ringside medicine  the pathology guy accidentally created one of the first medical sites providing information to individuals during the 1990's  and during those heady times handled 20-30 questions like these per day http://wwwpathguycom remains a popular site for pathology teachers  learners  and the curious public he has chaired the pathology department at kansas city university of medicine and biosciences since february 1992 his medical school roommate  distinguished radiologist joe panella md  described him as the only loner he knows who doesn't whistle the pathology guy is glad to see so many colleagues now answering the public's questions keep it up teammates -- where there is love of medicine  there is love of humankind,[uwhat a delight it is to read dr friedlander's posts he is direct and his advice is personalized clearly he's kind as he tells it like it is  without waffling while doing so  he also recognizes full well that we all deserve respect  frankness  and honesty when dosing out wisdom  whether to patients  the public  or his peers  u'very knowledgeable and capable of conveying his thoughts in a very clear way uncommon gift of empathy for those asking the questions  yet answers directly and unhesitatingly it is a pleasure to read his responses and to learn from him for a pathologist i find him refreshingly conversant with the living!'  u'dr friedlander is an excellent physician who really knows what he is talking about i am sincerely happy to be in connection with him on healthtap i highly recommend dr friedlander: his straightforward excellent answers are a great resource both to patients & drs thank you dr friedlander !'  u'dr friedlander is an extremely knowledgeable physician who continually gives superb advice on an incredible range of medical conditions hi9s answers are always accurate & totally reliable we are very fortunate to have him as a colleague on healthtap'  u'as a former student of dr friedlander i can say that he is quite brilliant and very quick with often very insightful and helpful witticisms  he has a great love of medicine and  i believe  an even greater love of teaching medicine to others'  u'a very knowledgable individual i had the privilege of attending his pathology course as a medical student in kansas city  mo i have appreciated his contribution to my education and value the solid core foundation he contributed in providing'],258,pathology,"13,141",[u'human immunodeficiency virus'  u'sexual intercourse'  u'pcr'  u'polymerase chain reaction'  u'ldl'  u'sex'  u'hiv'],i have protected sexual intercourse with a csw after one year i test hiv pcr test result was viral load less than ldl(ldl-10 copies/ml) what mean help?
negative for hiv,1874004,1,1032744,11885554,"16,052",university of toledo college of medicine  oh,32years,"[7569692, 7401832, 10038868, 10071091, 11447928, 10056546, 11193644, 11050720, 11126794, 10073610, 10014830, 10052334, 10014441, 12770019, 11387377, 12653404, 10004448, 10013293, 11204938, 10052353]","18,555,109",[u'diabetes'  uwomen's health  u'hyperlipidemia'  u'hypertension'],family practice and deal with all types of problems,[u'i have been impressed with dr minich pointed answers with knowledge  depth  wit  and kindness so  i highly recommend her to anyone looking for care / service from her specialty without reservation \r\n\r\n(james) chin-ti lin  md'  u'dr minich is a dedicated doctor  who has been actively answering complex medical questions with compassion  and insight she provides practical and solutions  and recommendations for patients great healthteam expert'  u'i highly endorse dr diane mimich as an expert in her field and as an asset to the healthtap community of experts she is knowledgeable  insightful and empathetic i think that she is an asset  to our physician panel'  u'i have learned a great deal from dr minich here on healthtap and have learned a great deal from her thoughtful  expert  and helpful answers to her patients i look forward to learning more from her!'  u'i recommend dr minich she is providing a valuable service to the public via healthtap she provides sensible  accurate and respectful input i endorse dr minich'  u'dr minich is an extremely knowledgeable physician who obviously care greatly for her patients and their health she is a terrific asset to the healthtap community!'],56,family medicine,"3,086",[u'human immunodeficiency virus'  u'sexual intercourse'  u'pcr'  u'polymerase chain reaction'  u'ldl'  u'sex'  u'hiv'],i have protected sexual intercourse with a csw after one year i test hiv pcr test result was viral load less than ldl(ldl-10 copies/ml) what mean help?
tough situation if you notice you're clenching a lot - day  night or both  let your mom know that as well so she can have a lab made occlusal guard made for you another option is to go to your local drug store and buy a boil and bite appliance (like the doctors night guard) and give it a try hope this helps,1470925,1,1038621,11092382,"1,879",,26years,"[11080084, 11387377, 11089577, 10002907, 11832999, 11109271, 11183952, 12543253, 10057039, 20596297, 10075023, 10000094, 12515014, 11069799, 12292890, 10531157, 11089553, 11951132, 11185887, 11399024]","1,607,761",nan,,[u'dr jalal is a knowledgeable  kind  trustworthy  dedicated  and a competent dentist his is trusted by myself  my family   my relatives and my patients  thank you for years of altruistic dedication to this art and science'  u'a wonderful dentist!'  u'great dentist!!'],3,dentistry,619,[u'stress'  u'tmj syndrome'  u'jaw pain'  u'wisdom teeth'  u'dentistry'],im 17 having jaw pain over 9 weeks moms a dentist says its tmj due to stress but she never looks at my jaw had wisdom teeth out already hurt to open
systematically somethings get better if not under stress somethings always hurt muscles pulling on your jaw can lead to pain at the point where they attach to the bone inflammation type pain responds to anti inflammatory drugs like aspirin  ibuprofen or naproxen if there is an ebb and subsiding of the pain on different days and times ii probably is due to stress constant pain more likely is infection,2325457,0,1038621,12602845,149,university of minnesota school of dentistry  mn,28years,"[11125605, 10531157, 11089553, 12551127]","132,326",[u'botox'  u'sleep apnea'  u'endodontics'  u'dental implants'  u'cerec'],completed implant seminars implant continuum series 1 2011 continuum series 2 master series 2012 dentaspa seminars botox and derma fillers courses d1 through d3 and lips and prp advanced training in 2013 taking and reading cone beam dental ct scans since 2011  cerec owner since 2004,[u'dr andrea is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'  u'dr andrea is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'],1,dentistry,71,[u'stress'  u'tmj syndrome'  u'jaw pain'  u'wisdom teeth'  u'dentistry'],im 17 having jaw pain over 9 weeks moms a dentist says its tmj due to stress but she never looks at my jaw had wisdom teeth out already hurt to open
tmj the areas that you note can be related to muscle spasms as a result of a bad bite   one of the signs of tmj dysfunction please see a dentist who has had training in diagnosing and treating the many issues that are part of tmd,1479354,1,1041580,12292827,893,tufts university school of dental medicine,42years,"[11125605, 11183703, 12790320, 12363070, 12292890, 12281633, 11089553, 11446948, 26122730, 11153491, 12582025, 12558086]","526,145",[u'sleep apnea'  u'tmj syndrome'  u'cosmetic dentistry'],dr mark birnbach earned his ba at queens college (cuny)  and his dmd from tufts university after graduation  dr birnbach spent a year practicing dentistry in switzerland on his return to the states  he established his dental practice  which concentrates on aesthetic and cosmetic dentistry at his creek side location since 1977  he has taken over 3 500 hours of continuing education he is one of a few dentists in the world who has completed the full mouth reconstruction course at the las vegas institute for advanced dental studies mark is now an instructor there he has conducted dental seminars on aesthetic dentistry and thrice been awarded clinician of the year by the boulder dental study club in his spare time  mark likes to get out and take advantage of living in this beautiful area – enjoying the fresh powder in the mountains in the winter  and riding his road bike up to jamestown  carter lake  rabbit mountain  avon to the top of vail pass and participating in fund raising rides like davis phinney's road to victory bicycle classic (in support of parkinson's research) and the buffalo classic century ride (a fund raiser for scholarships for cu students) he also enjoys traveling and taking photos of the many memorable places he's been fortunate enough to visit,[u'great doc!!'],1,cosmetic dentistry,185,[u'chronic pain'  u'persistent pain'  u'tmj syndrome'  u'dentistry'  u'mri of brain'  u'mri'  u'magnetic resonance imaging'],where r the areas in your head where they would hurt if u have tmj? mines hurts on top & n front of my ears! mri of brain normal 4-18-13 lots of ha
could be tmj areas you mention common in tmd see tmj expert for exam any dentist can be a tmj expert with the proper training and experience most commonly  oral surgeons  prosthodontists  and orofacial pain specialists ask your md  your dentist and your dental society for referrals,2230610,0,1041580,12543253,"13,246",university of washington school of medicine  wa university of pittsburgh school of dental medicine  pa,40years,"[7569692, 12838194, 7553169, 12838195, 7401832, 10001527, 10056048, 10005868, 10011107, 10013908, 10038441, 11946103, 20680097, 11447928, 10056546, 11193644, 10073610, 10014830, 10052334, 10005507]","7,734,960",[u'oral surgery'  u'oral and maxillofacial surgery'  u'tooth pain'  u'managing tmj'  u'dental pain'  u'wisdom tooth extraction'  u'dealing with wisdom teeth'  u'facial pain'  u'facial plastic surgery'  u'tmj surgery'  u'oral cancer'  u'botox'  u'acne'  u'open repair of jawbone fracture'],dmd  md  facs licensed in both medicine and dentistry board certified in oral & maxillofacial surgery  otolaryngology/head & neck surgery  and facial plastic and reconstructive surgery past full time faculty at uc davis medical center  sacramento  ca current clinical faculty at university of washington school of dentistry  seattle  wa practice consists of tmj and facial pain disorders  facial plastic and reconstructive surgery currently in full time private practice in sacramento  ca 87 scripps drive  suite 112  sacramento  ca 95825 office phone 916-570-3088,[u'being trained  licensed  & board certified both medically (both otolaryngology and facial plastic & reconstructive surgery) and dentally (oral & maxillofacial surgery) drgallia is in possession of an incredibly impressive breadth of training  knowledge  and experience in his field  his answers to questions are clear  precise  & very helpful &it is my pleasure to recommend him very highly indeed'  u'although i live far from dr lou  i have had the chance to see his recommendations  his accolades and his patient satisfaction i highly recommend dr lou for his experience  recognition nationally and his devotion to his community of patients'  u'great doctor he gets right to the point  addresses the issue in a straightforward manner and tells you who to follow up with what more could you want glad to have him here on healthtapcom impressed with his tmj expertise'  u'i have known dr gallia to be extremely knowledgable as an oral surgeon and have been very pleased with the way he has teated my patients  i have no hesitation in recommending him'  u'dr gallia is an expert in his field and i highly recommend searching him out for answers relating to ent  maxillofacial  tmj  and other related areas of interest!'  u'not your basic or all surgeon  best of the best! very experience oral surgeon many additional specialties definitely in good hands and highly recommended!'],11,oral and maxillofacial surgery,"1,445",[u'chronic pain'  u'persistent pain'  u'tmj syndrome'  u'dentistry'  u'mri of brain'  u'mri'  u'magnetic resonance imaging'],where r the areas in your head where they would hurt if u have tmj? mines hurts on top & n front of my ears! mri of brain normal 4-18-13 lots of ha
painful tooth sounds like an infected (abcessed) tooth antibiotics will relieve the symptoms only temporarily you need to see a dentist and have the tooth treated,1495098,1,1053684,10528823,"3,227",university of pittsburgh school of dental medicine,46years,"[11089577, 10002907, 11125605, 12790320, 11946103, 11183703, 11188319, 10014830, 12743300, 11996614, 12543305, 12611546, 11499112, 12770740, 11144895, 10075023, 11060227, 11109271, 12543253, 10007201]","1,798,869",[u'tmj syndrome'  u'tooth pain'  u'canker sore'  u'root canal'  u'caries'  u'dental pain'  u'dental implants'],,[u'dr rubenstein is a highly knowledgeable and compassionate doctor enjoy reading his answers recommended'  u'a very dedicated dentist with years of knowledge and experience'  u'great dentist'],9,dentistry,725,[u'swollen glands'  u'enlarged lymph nodes'  u'enlarged glands'  u'antibiotic'],sore painful tooth  sore jaw and swollen glands on same side  will antibiotics help?  there is no swelling of the gums or around the tooth
yes with ibuprofen yes with ibuprofen,1495093,1,1053684,10013718,340,unknown,17years,"[10023207, 10011614, 11667781, 7327127, 7442027, 7443952, 7450139, 7774240, 7327952]","214,710",[u'diabetes type 2'  u'obesity'],,[u'dr desai is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'  u'dr desai is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'],1,family medicine,217,[u'swollen glands'  u'enlarged lymph nodes'  u'enlarged glands'  u'antibiotic'],sore painful tooth  sore jaw and swollen glands on same side  will antibiotics help?  there is no swelling of the gums or around the tooth
classic tmj classic tmj symptoms see a tmj specialist any dentist can be a tmj expert with the proper training and experience most commonly  oral surgeons  prosthodontists  and orofacial pain specialists ask your md  your dentist and your dental society for referrals,2231869,0,1061385,12543253,"13,246",university of washington school of medicine  wa university of pittsburgh school of dental medicine  pa,40years,"[7569692, 12838194, 7553169, 12838195, 7401832, 10001527, 10056048, 10005868, 10011107, 10013908, 10038441, 11946103, 20680097, 11447928, 10056546, 11193644, 10073610, 10014830, 10052334, 10005507]","7,734,960",[u'oral surgery'  u'oral and maxillofacial surgery'  u'tooth pain'  u'managing tmj'  u'dental pain'  u'wisdom tooth extraction'  u'dealing with wisdom teeth'  u'facial pain'  u'facial plastic surgery'  u'tmj surgery'  u'oral cancer'  u'botox'  u'acne'  u'open repair of jawbone fracture'],dmd  md  facs licensed in both medicine and dentistry board certified in oral & maxillofacial surgery  otolaryngology/head & neck surgery  and facial plastic and reconstructive surgery past full time faculty at uc davis medical center  sacramento  ca current clinical faculty at university of washington school of dentistry  seattle  wa practice consists of tmj and facial pain disorders  facial plastic and reconstructive surgery currently in full time private practice in sacramento  ca 87 scripps drive  suite 112  sacramento  ca 95825 office phone 916-570-3088,[u'being trained  licensed  & board certified both medically (both otolaryngology and facial plastic & reconstructive surgery) and dentally (oral & maxillofacial surgery) drgallia is in possession of an incredibly impressive breadth of training  knowledge  and experience in his field  his answers to questions are clear  precise  & very helpful &it is my pleasure to recommend him very highly indeed'  u'although i live far from dr lou  i have had the chance to see his recommendations  his accolades and his patient satisfaction i highly recommend dr lou for his experience  recognition nationally and his devotion to his community of patients'  u'great doctor he gets right to the point  addresses the issue in a straightforward manner and tells you who to follow up with what more could you want glad to have him here on healthtapcom impressed with his tmj expertise'  u'i have known dr gallia to be extremely knowledgable as an oral surgeon and have been very pleased with the way he has teated my patients  i have no hesitation in recommending him'  u'dr gallia is an expert in his field and i highly recommend searching him out for answers relating to ent  maxillofacial  tmj  and other related areas of interest!'  u'not your basic or all surgeon  best of the best! very experience oral surgeon many additional specialties definitely in good hands and highly recommended!'],11,oral and maxillofacial surgery,"1,445",[u'headache'  u'dizziness'  u'tmj syndrome'  u'grinding teeth'  u'stiff neck'  u'ringing in ears'  u'vertigo'],can tmj also cause stiff neck?jaw line aches  ringing in ears  stiff neck  slight vertigo jaw stiff but can move it finejaw click/cracks is their help
see a doctore it could be infected so you should seek medical care,1500124,0,1061566,12506188,44,weill cornell medical college of cornell university  ny,22years,[12429479],"172,913",nan,,[u'i would fly 4000 miles to see dr s hulbert  he obviously as great knowledge and can see the issues on basic questions my view  how lucky american citizens to have such doctors who take note of the slightest of details   and use sound medical ethical judgement even in one line whats more  no mention of the anxiety tags doctors love to hang on patients  many thanks phil'  u'dr hubert is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'  u'dr hubert is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'],,dermatology,50,nan,i got bit by a spider 3 days ago on my upper arm  its swollen  painful  itchy and red feels like its on fire sometimes  what should i do?
