0,nasal septal perf alreadi issu nasal septum put risk develop septal perfor  use salin nasal spray necessarili prevent perfor occur  done alreadi  see ent evalu treatment caus  may prevent perfor 0,use salt water nasal spray help prevent develop perfor septum 0,tonsillectomi adenoidectomi  xeomin  chemic laser treatment melasma  sleep disturb childhood 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1,possibl know marijuana caus chromosom breakag  clear whether respons miscarriag infertil  usual advis patient err side caution stay away 1,wife recent 3 miscarriag  2 chemic pregnanc  one 7 week  marijuana smoker 23 week   chanc weed blame 2 year old daughter 1,femal health  polycyst ovarian syndrom  ovul  fertil  infertil  clomid  clomiphen  pregnanc loss  get pregnant  ivf pregnanc  progesteron  spontan abort  ectop pregnanc  uterin fibroid  amenorrhea  fsh  prolactin  prematur ovarian failur  hysterosalpingogram  turner syndrom 1,infertil  smoke  pregnanc  marijuana  ganja  cannabi
2,adenoid  snore hello  prescrib intranas steroid  help reduc swell within nasal caviti  sinc child note resolut snore seem like option  surgic remov adenoid  continu in use possibl allergi eval determin adenoid tissu reactiv allergi  would recommend allergi eval  doc 2,7 yrs old enlarg adenoid  ent given nasonex spray   2 month two time  treatment stop snore  start snore coupl week stop med 2,cough  ear infect  chronic sinus  headach  tonsil  endoscop sinus surgeri  voic disord  allerg reaction  eustachian tube dysfunct  throat cancer  acut sinus  noseble  gastroesophag reflux diseas  non allerg rhiniti  skin cancer  hear loss  nasal polyp  tinnitus 2,cari  snore  enlarg adenoid  hypersensit  sleep apnea  surgeri  caviti  allergi  children  snore
3,possibl sexsteroid bind globulin affect level hormon male femal hormon  hormon defici caus fertil problem  certain specif effect prevent pregnanc  tri conceiv  see doctor  tri conceiv  see doctor 3,get girl pregnant low sexual bind globulin 3,ear infect  pediatr  behavior problem  asthma children 3,infertil  tri conceiv  sex  steroid  hormon  fertil  pregnanc
4,hsv2 herp simplex virus2 hsv2 virus spread sexual  vagin anal sex  even oral sex  lesion outbreak  wold certain increas chanc  preclud person contract diseas sex place outbreak 4,herp outbreak anus never notic vagin outbreak  still spread herp vagin sex anal 4,urinari tract infect 4,wound  cold sore  herp  sexual intercours  virus  herp simplex  sex  hsv
5,abcess tooth upper tooth abcess caus pain seem like ear  axillari lymph node chest arm pit  would swollen due abcess tooth  need see dentist abcess tooth  swollen axillari lymph node  need see medic doctor asap 5,abcess tooth caus pain ear axillari lymph node swell 5,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 5,earach  tooth abscess  dentistri
6,mayb may experienc swell caus retract testicl  drop back place  hasnt recov around 6 week postop  see surgeon  btw  call concern 6,two week ago surgeri left inguin hernia hydrocel marsupi    left testicl posit top scrotum   drop normal posit later 6,surgeri  pimpl  acn  facial pimpl  lose weight  obes  weight loss surgeri  lose weight  aesthet  antiag 6,groin hernia  lump groin  hernia  hydrocel  inguin hernia  surgeri
7,low risk realli unlik heart diseas even normal echo stress test  young femal low risk heart diseas  esp sinc dont smoke  blood pressur cholesterol level normal think reassur best cours action test expos radiat cost $ like normal 7,still worri chest pain even normal 2deho jan 2013  ecg  treadmil stress test im alway think heart attack stroke 7,cardiolog  imag  prevent medicin  eat healthier  exercis 7,stress  heart diseas  chest pain  heart attack  stroke  chest pressur  cardiac arrest  chest tight  cerebr vascular accid  myocardi infarct
8,infect although viral load best test determin whether hiv infect  fact undetect protect sex mean noth worri 8,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help 8,hiv aid  sexual transmit diseas  syphili  sexual transmit infect  sexual health  hiv medic 8,human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv
9,true happen  may masturb want hormon level alter certain lose hair  see dermatologist hair ask doctor show medic literatur support assert  take care best wish 9,help doctor say excess ejacul masturb increas hormon level  dht product bodi caus bald depress 9,sleep  anxieti  depress  bipolar disord  stress  psychiatri  manic depress disord  adhd  klonopin  zoloft  clonazepam  sertralin  memori  adderal  dextroamphetamin racem amphetamin  person disord  psychot  major depress 9,bald  depress  hair loss  hormon  masturb  ejacul  dihydrotachysterol  dht  melancholia  dermatolog
10, isol find  visibl vein associ breast cancer  associ pain swell concern  doctor take look 10,im 68 visibl blue vein left breast  noth right  mammogram 4 mos ago breast exam doc 3 mos   vein sign bc 10,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 10,digit mammogram  mammogram  breast exam
