0, may treat nasal congest 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1,long         dont smoke anymor theyr born  smoke anyth bad potenti even wors first trimest  take extra extra care ingest thing bodi least first 13 week entir pregnanc prevent complic difficulti child cannot control may abl much later life 1,wife recent 3 miscarriag  2 chemic pregnanc  one 7 week  marijuana smoker 23 week   chanc weed blame 2 year old daughter 1,dizzi  headach  anxieti  vertigo  migrain  sleep  tingl  pain back  migrain headach  numb  stroke  seizur  lightheaded  stress  multipl sclerosi  tremor  cerebr vascular accid  exercis  dementia  stress headach 1,infertil  smoke  pregnanc  marijuana  ganja  cannabi
2,sleep apnea  snore sever possibilities: peopl snore sleep back  tri avoid  lose weight  see ear nose  throat specialist evalu tonsil  adenoid sinus  overnight sleep studi evalu sleep apnea wear cpap wear custom made dental devic hold jaw forward sleep therebi increas airway 2,7 yrs old enlarg adenoid  ent given nasonex spray   2 month two time  treatment stop snore  start snore coupl week stop med 2,sleep apnea  tmj syndrom  cosmet dentistri 2,cari  snore  enlarg adenoid  hypersensit  sleep apnea  surgeri  caviti  allergi  children  snore
3,see endocrinologist detail endocrinolog workup lab test may help pinpoint problem  pituitari affect certain disord  exampl  pituitari tumor symptom  good work 3,get girl pregnant low sexual bind globulin 3,cancer  brain injuri  arterioven malform  glioblastoma  tbi 3,infertil  tri conceiv  sex  steroid  hormon  fertil  pregnanc
4,hsv1  usual fever blister usual caus hsv1  caus hsv2 4,herp outbreak anus never notic vagin outbreak  still spread herp vagin sex anal 4,tooth pain  dental care  oral surgeri  dental procedur  dental pain  dental health 4,wound  cold sore  herp  sexual intercours  virus  herp simplex  sex  hsv
5,yes rotten = infect  lymph node design trap pathogen  limit spread infect  unless sourc infect  diseas tooth  address  infect eventu spread beyond safeguard  lymphat system  pleas call dentist care 5,abcess tooth caus pain ear axillari lymph node swell 5,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 5,earach  tooth abscess  dentistri
6,doubt hi doubt damag done  would avoid lift heavi object even full groceri bag coupl month worth hernia come back cant get someon els take groceri bag 2 3 trip hope heal well 6,two week ago surgeri left inguin hernia hydrocel marsupi    left testicl posit top scrotum   drop normal posit later 6,surgeri  kidney stone  cancer  bph  nephrolithiasi  enlarg prostat  urinari bleed  blood urin  male health  benign prostat hyperplasia  prostat cancer  circumcis  urinari retent  take antibiot 6,groin hernia  lump groin  hernia  hydrocel  inguin hernia  surgeri
7,panic attack u symptom typic panic attack 90 percent patient visit er chest pain   short breath r consern heart attack   turn panic attack   howev  import r cardiac caus 7,still worri chest pain even normal 2deho jan 2013  ecg  treadmil stress test im alway think heart attack stroke 7,sleep  healthi pregnanc  psychiatri  hopeless  adderal  psychiatri sleep 7,stress  heart diseas  chest pain  heart attack  stroke  chest pressur  cardiac arrest  chest tight  cerebr vascular accid  myocardi infarct
8,negat result lucki negat result 8,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help 8,human immunodefici virus  diabet  ulcer  hepat  irrit bowel syndrom  diabet type 2  copd  anemia  heart failur  low blood pressur  hypotens  hypertens 8,human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv
9,internet claim made look like real scienc   generat frighten young men belong one cult  whether man goe bald almost entir function genet  correl close much chest hair natur bless  discern dont let foolish peopl feed disinform  best wish 9,help doctor say excess ejacul masturb increas hormon level  dht product bodi caus bald depress 9,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 9,bald  depress  hair loss  hormon  masturb  ejacul  dihydrotachysterol  dht  melancholia  dermatolog
10,ultrasound best test palpabl mass breast ultrasound  even mammogram negat  hope help 10,im 68 visibl blue vein left breast  noth right  mammogram 4 mos ago breast exam doc 3 mos   vein sign bc 10,breast cancer  lung cancer  oncolog  hematolog 10,digit mammogram  mammogram  breast exam
11,worri lymph node small filter throughout bodi act process center immun system  get abnorm enlarg cancer spread  normal expect see intramammari lymph node  concern enlarg abnorm appear  therefor  noth worri 11,mom 72 breast cancer spread brain reciv hyperbar oxygen therapi larg knot upper thigh im concern 11,cancer  breast cancer  hernia  laparoscop surgeri  mammogram  gallston  abdomin pain  breast lump  append  inguin hernia  mastectomi  gallbladd diseas 11,hyperbar chamber  hyperbar oxygen therapi  procedur hbot
12,gum remov tissu remov wisdom tooth help suffici room tooth erupt   tooth remov 12,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 12,dental care  dental pain  dental health 12,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri
13,end stage dementia  actual cant tell apart without brain biopsi  except subtl differ expert could spot  end stage dementia look patient sign symptom 13,better altern risperidon  given side effect  discuss mom doc  tia develop occassion hallucin  lewi bodi dementia parkinson 13,mood disord  brain injuri  dementia  chronic pain 13,vascular dementia  parkinson diseas  dementia lewi bodi  cholinesteras inhibitor  antipsychot
14,tmj tmj  could myriad thing  start tmj specialist  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr 14,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha 14,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 14,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag
15,eustachian tube nois normal  open eustachan tube  tube connect back throat middl ear 15,notic squat knee joint make weird crack nois   doesnt hurt sound like im crack knuckl  strech almost daili 15,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 15,nan
16,tooth gum question  sore gum line could toothbrush abras abfract  prematur contact recess  sore come crown tooth  could infect  infect come decay trauma although combin endoperio  want difinit answer  recommend dental appoint sure 16,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 16,oral surgeri  cosmet dentistri  holist medicin  periodont  orthodontia 16,swollen gland  enlarg lymph node  enlarg gland  antibiot
17,possibi  move teeth caus disharmoni occlus way upper lower teeth come togeth  disharmoni caus ongo tmj problem  consult dentist train evalu relationship lower jaw skull upper teeth 17,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help 17,sleep  sleep apnea  abscess  tooth pain  snore  apnea  cosmet dentistri  cold sore  herp simplex  canker sore  dental cari  malocclus  dental care  oral surgeri  diagnost servic 17,headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo
18,normal concern worri  obvious potenti abnorm  howev  turn noth concern  keep mind 18,need mammogram breast ultrasound 18,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 18,breast cancer  cancer  calcium  biopsi  repeat ultrasound  ultrasound breast  sonogram  mammogram  digit mammogram
19,avoid sedituv avoid alcohol sedat  avoid smoke  lose weight  avoid sleep back  dont work  need see sleep physician decid need sleep studi  medic solut includ cpap  surgeri oral applianc 19,hi    way get rid snore   mom srver problem snore 19,sleep  dizzi  tooth pain  tmj syndrom  daytim sleepi  gum diseas  drowsi  oral hygein  dentistri  sleep apnea  loud snore  dental care  migrain headach  mouth brace  periodont  morn headach  bad breath  miss teeth  thumbsuck 19,snore  sleep apnea  snore
20,cancer mouth oral cancer painless  make challeng find  may viral infect caus swell inflamm  could mononucleosi 20,cut kitchen knife tuesday  yesterday woke sore throat difficulti  swallow  today stiff jaw tetnaus anoth infect cut 20,root canal  abscess  cancer  sleep  oral thrush  candidiasi  heart murmur  tooth pain  dental pain  advil  fals teeth  oral surgeri  dental cari  cari  tmj syndrom  dentistri  umbil hernia  massag  surgeri  disloc 20,throat pain  sore throat  stiff  swallow disord  difficulti swallow
21,yes normal normal  sometim caus minor muscl sprain pain  experienc minor muscl pain jerk head sudden  symptom slight headach  ok  continu situat  headach like minor tension headach  could take tylenol help pain headach 21,bump like zit rim head peni white forev never paid attent normal wro 21,mens  fertil  period pain 21,acn  pimpl
22, may treat nasal congest 22,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj 22,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 22,dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo
23,may dri nose may help moistur membran  dri membran lead septal perfor  though mani caus 23,use nasal spray help treat deviat septum 23,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 23,headach  deviat nasal septum  shock  surgeri  rhinoplasti  oxymetazolin  ent head neck surgeri  ear nose throat  cartilag
24,possibl need sleep studi determin sleep apnea 24,sleep studi done child noth found sleep apena diagnos today think tmj seroquel chang breath talk pcp 24,diabet  women health  hyperlipidemia  hypertens 24,tmj syndrom  sleep apnea  apnea  sleep studi  seroquel  quetiapin  children  sleep
25,contract toe hammerto contractur bend toe joint result muscl tendon imbal due mechan structur chang foot  hereditari due environment factor tight shoe  bend lead abnorm pressur distribut result pain  swell  blister  corn  treatment conserv surgic 25,anyon know  hallux valgushamm toe correct surgeri  doctor arrang plaster pari bandag upto knee 25,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 25,bunion  hammer toe repair  bunion repair  hammerto correct  bunion remov  surgeri  hammer toe  hallux valgus  foot surgeri
26,avoid sedituv avoid alcohol sedat  avoid smoke  lose weight  avoid sleep back  dont work  need see sleep physician decid need sleep studi  medic solut includ cpap  surgeri oral applianc 26,way reduc loud someon snore complet stop snore 26,sleep  dizzi  tooth pain  tmj syndrom  daytim sleepi  gum diseas  drowsi  oral hygein  dentistri  sleep apnea  loud snore  dental care  migrain headach  mouth brace  periodont  morn headach  bad breath  miss teeth  thumbsuck 26,snore  sleep apnea  snore
27,mani possibl overweight  shape  wear shoe wrong type support feet  size activ level common reason @ 20  unbalanc mild scoliosi bone length differ unusu  thing make joint hurt swellingfrom littl lot includ thyroid diseas  drug supplement  lyme diseas  rheumatoid arthriti   best see md 27,overthecount med joint pain ankl  knee  wrist  etc 27,exercis  children health  child health  anxieti  danc therapi  vitamin defici  vaccin  sleep  asthma  vitamin supplement  immun 27,joint pain
28,dementia alzheim vascular dementia often coexist  treatment similar  cognit memori dysfunct  progress vascular dementia stairstep alzheim  gradual  dementia singl larg stroke look differ smallvessel diseas  possibl frequenc depress vascular dementia 28,vascular dementia wors alzheim   end stage 28,nan 28,dementia  alzheim diseas  vascular dementia
