0,cool mist humidifi use nasacortov counter 1 spray nostril day 34 day 0,use salt water nasal spray help prevent develop perfor septum 0,children health 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1,cancer concern alreadi know smoke bad  good  stop smoke  stop worri cancer  spine pain may cancer  tho unlikelythat shown imag  like musculoskelet issu chronic sprain repetit stress injuri  intern problem lung  intestin tract  kidney etc must also consid  get anoth opinion 1,wife recent 3 miscarriag  2 chemic pregnanc  one 7 week  marijuana smoker 23 week   chanc weed blame 2 year old daughter 1,cerebr apoplexi  spina bifida  neuroma 1,infertil  smoke  pregnanc  marijuana  ganja  cannabi
2,see ent appear relat  see ent tooth extract antibiot given  get treatment plan replac miss tooth avoid addit problem 2,7 yrs old enlarg adenoid  ent given nasonex spray   2 month two time  treatment stop snore  start snore coupl week stop med 2,root canal  tooth pain  tmj syndrom  dentistri  cari  dental cari  dental care  dental health  inflamm gum  earach  numb  gum diseas  roentgen ray  ent head neck surgeri  cosmet  crowd teeth  throat pain  sore throat  emerg dentistri  dental bite disturb 2,cari  snore  enlarg adenoid  hypersensit  sleep apnea  surgeri  caviti  allergi  children  snore
3,steroid cream hydrocortison cream  area benedryl oral capsul control itch  intern steroid reserv wors case situat  safeti purpos  condit aris close follow recommend 3,get girl pregnant low sexual bind globulin 3,safeti  clog milk duct  breast engorg  lactat problem  breast pump 3,infertil  tri conceiv  sex  steroid  hormon  fertil  pregnanc
4,yes close relat cant get genit herp oral sore normal circumst 4,herp outbreak anus never notic vagin outbreak  still spread herp vagin sex anal 4,erectil dysfunct  infertil  peni disord  testicular disord  male genit disord  men health 4,wound  cold sore  herp  sexual intercours  virus  herp simplex  sex  hsv
5,chickenpox yes lymph node becom swollen mani part bodi  strateg place captur spread infect get rest bodi  chickenpox viral infect pleas awar secondari staph infect also present lesion  sore bigger nickel see doctor ad med 5,abcess tooth caus pain ear axillari lymph node swell 5,nan 5,earach  tooth abscess  dentistri
6,get hernia fix start work take control health 6,two week ago surgeri left inguin hernia hydrocel marsupi    left testicl posit top scrotum   drop normal posit later 6,erectil dysfunct  infertil  peni disord  testicular disord  male genit disord  men health 6,groin hernia  lump groin  hernia  hydrocel  inguin hernia  surgeri
7,difficult sinc difficult tell  alway recommend check heart first  sinc consequ miss cardiac diseas fatal  also  hiatal hernia mimic cardiac diseas larg  turn case  seek consult general thorac surgeon experienc laparoscop hiatal hernia repair 7,still worri chest pain even normal 2deho jan 2013  ecg  treadmil stress test im alway think heart attack stroke 7,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 7,stress  heart diseas  chest pain  heart attack  stroke  chest pressur  cardiac arrest  chest tight  cerebr vascular accid  myocardi infarct
8,take time  take two week receiv result  give time  mean time yore concern std  use condom yore sex test come back posit  respons let sexual contact know 8,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help 8,femal health  contracept  ovul  mens  fertil  healthi pregnanc  yeast infect  oral contracept  sexual transmit diseas  home pregnanc test  pregnanc loss  tri conceiv  get pregnant  polycyst ovarian syndrom  sexual transmit infect  pap smear  intrauterin devic  first trimest pregnanc  pelvic inflammatori diseas  endometriosi 8,human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv
9,mayb stop consum fri food sugar  signific improv skin reduc inflamm  possibl excess sexual stimul rais test level make acn wors 9,help doctor say excess ejacul masturb increas hormon level  dht product bodi caus bald depress 9,depress  sleep  kidney failur  metabol problem  lose weight  fibromyalgia  holist medicin  hormon imbal  immun diseas  lethargi  abdomin discomfort  acetaminophen  obes  crohn diseas  irrit bowel syndrom  chronic fatigu  insomnia  weight gain  rapid weight gain  injuri wound 9,bald  depress  hair loss  hormon  masturb  ejacul  dihydrotachysterol  dht  melancholia  dermatolog
10,lump probabl breast surgeon would best  otherwis  ob gyn primari care physician would abl perform breast exam order mammogram need 10,im 68 visibl blue vein left breast  noth right  mammogram 4 mos ago breast exam doc 3 mos   vein sign bc 10,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 10,digit mammogram  mammogram  breast exam
11,possibl possibl 11,mom 72 breast cancer spread brain reciv hyperbar oxygen therapi larg knot upper thigh im concern 11,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 11,hyperbar chamber  hyperbar oxygen therapi  procedur hbot
12,yes dri socket unbear pain  see oral surgeon pain level high  jaw pain common postur jaw wide open extend amount time  lower level pain 12,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 12,nan 12,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri
13,med v  diseas feel medicin caus deficit talk move guess may stop gradual  feel everyth due dementia even lack mobil lack convers 13,better altern risperidon  given side effect  discuss mom doc  tia develop occassion hallucin  lewi bodi dementia parkinson 13,depress  cerebr apoplexi  infertil  adhd 13,vascular dementia  parkinson diseas  dementia lewi bodi  cholinesteras inhibitor  antipsychot
14,standard mri head might adequ rule relev patholog  tailor exam special thin section region would help 14,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha 14,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 14,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag
15,what caus  cellul basic visibl inflamm iti skin soft tissu red  hot  swollen tender   caus mani thing includ sunburn radiat  trauma sprain ankl poor vein circul stasi dermat  need caus bacteria  repeat episod  get wound care vascular specialist  diagnos wrong 15,notic squat knee joint make weird crack nois   doesnt hurt sound like im crack knuckl  strech almost daili 15,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 15,nan
16,yes crack allow bacteria infect root gum lymph node drain part mouth react enlarg 16,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 16,joint  sport medicin  travel medicin  cope disast  disast prepar recoveri 16,swollen gland  enlarg lymph node  enlarg gland  antibiot
17,tx vari caus tmj tmd  known durat problem  may dictat treatment  often treatment tmj vari person person also may sometim involv see doctor  physic therapi  ten  ultrasound therapi  exercis  mouthpiec standard type treatment  may need combin 17,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help 17,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 17,headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo
18,mammo vs sono mammographi still screen standard care dens breast  sensit mammographi detect cancer80% across board decreas dens breast  studi show 50% lower  data suggest sonographi perform better mammo dens breast  mani perform screen mammo sono dens breast  evolv situat 18,need mammogram breast ultrasound 18,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 18,breast cancer  cancer  calcium  biopsi  repeat ultrasound  ultrasound breast  sonogram  mammogram  digit mammogram
19,yes brain bodi need rest rejuven happen sleep 19,hi    way get rid snore   mom srver problem snore 19,sleep apnea  tmj syndrom  botox  trigger point inject  cosmet dentistri 19,snore  sleep apnea  snore
20,see doc pleas seen either urgent care clinic ed today  may strep pharyng  ear infect  remot possibl mening  like viral upper respiratori infect best rule serious ill 20,cut kitchen knife tuesday  yesterday woke sore throat difficulti  swallow  today stiff jaw tetnaus anoth infect cut 20,nan 20,throat pain  sore throat  stiff  swallow disord  difficulti swallow
