0,septoplasti septal spur common find  surgeon equip manag issu 0,use salt water nasal spray help prevent develop perfor septum 0,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1,blood blood tast iscom gum  smoke caus poor dental hygien  may bave gingiv  see dentist help 1,wife recent 3 miscarriag  2 chemic pregnanc  one 7 week  marijuana smoker 23 week   chanc weed blame 2 year old daughter 1,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 1,infertil  smoke  pregnanc  marijuana  ganja  cannabi
2,yes larg tonsil adenoid common caus sleep apnea children  snore gasp air sign sleep apnea  get child doctor asap tonsil adenoid check remov 2,7 yrs old enlarg adenoid  ent given nasonex spray   2 month two time  treatment stop snore  start snore coupl week stop med 2,sleep apnea  gum diseas  dental health  root canal  mouth brace  laser ablat 2,cari  snore  enlarg adenoid  hypersensit  sleep apnea  surgeri  caviti  allergi  children  snore
3,test today pregnanc health issu game like bet guess  diagnos right evalu  test  examin  think could pregnant must get pregnanc test complet 3,get girl pregnant low sexual bind globulin 3,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 3,infertil  tri conceiv  sex  steroid  hormon  fertil  pregnanc
4,yes hsv virus shed even dont sore  much less like  still possibl 4,herp outbreak anus never notic vagin outbreak  still spread herp vagin sex anal 4,femal health  contracept  mens  healthi pregnanc  bleed  pap smear  vulvodynia  hysteroscopi  minim invas surgeri  dysfunct uterin bleed 4,wound  cold sore  herp  sexual intercours  virus  herp simplex  sex  hsv
5,see dentist pill cure abscess tooth  infect tooth materi physic remov perhap root canal rx extract  antibiot may limit spread infect  pain killer may take edg  soon stop pill  infect come roar back  stop procrastin  call dentist 5,abcess tooth caus pain ear axillari lymph node swell 5,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 5,earach  tooth abscess  dentistri
6,choos trust ultim  must choos surgeon trust  im sure lower degre vs superior degre  one degre  md  other  like  certif american board surgeri fellow american colleg surgeon  indic pass number mileston train  ethic conduct continu verif process 6,two week ago surgeri left inguin hernia hydrocel marsupi    left testicl posit top scrotum   drop normal posit later 6,surgeri  hernia  emerg surgeri  spleen injuri  inguin hernia  groin hernia  lump groin  gallston  multipl trauma  critic injuri 6,groin hernia  lump groin  hernia  hydrocel  inguin hernia  surgeri
7,tast blood tast blood may come post nasal drip blood ting aneurysm 7,still worri chest pain even normal 2deho jan 2013  ecg  treadmil stress test im alway think heart attack stroke 7,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 7,stress  heart diseas  chest pain  heart attack  stroke  chest pressur  cardiac arrest  chest tight  cerebr vascular accid  myocardi infarct
8,develop side effect allerg reaction 2 antibiot  tri take peptobismol need diarrhea heartburn  eat lot appl banana harden poop drink lot water  follow dr concern 8,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help 8,nan 8,human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv
9,probabl  im assum yore talk bovin colostrum  medic supplement caus temporari hair loss technic name: telogen effluvium  near alway grow back yoll give time  insulinlik growth factor igf probabl mediat situat  one know sure  biotin b vitamin 5000 unit day may help speed regrowth 9,help doctor say excess ejacul masturb increas hormon level  dht product bodi caus bald depress 9,acn  psoriasi  contact dermat  skin cancer  topic medic laser treatment 9,bald  depress  hair loss  hormon  masturb  ejacul  dihydrotachysterol  dht  melancholia  dermatolog
10,lump alway even cancer  benign lump grow  alreadi done  clinic evalu ultrasound  dont assum cancer  mass solid biopsi  prefer method: core biopsi 10,im 68 visibl blue vein left breast  noth right  mammogram 4 mos ago breast exam doc 3 mos   vein sign bc 10,breast cancer  breast lump  breast biopsi  ultrasound breast  breast conserv surgeri 10,digit mammogram  mammogram  breast exam
11,yes matter treatment  cancer breast 100 % result  lumpectomi radiat cancer still recurr  patient need follow doctor exam xray  recurr option exist mastectomi 11,mom 72 breast cancer spread brain reciv hyperbar oxygen therapi larg knot upper thigh im concern 11,cancer  radiat therapi  prostat cancer  radiat oncolog  oncolog 11,hyperbar chamber  hyperbar oxygen therapi  procedur hbot
12,like wisdom teeth probabl teeth  howev  natur respons tooth pain clench  caus joint muscl pain  speak oral surgeon  mayb move  good luck 12,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 12,fals teeth  dental implant  sleep  dental health  oral surgeri  stress less  abscess  dental care  dental fill  bone loss  ulcer  miss teeth  oral maxillofaci surgeri  diagnost servic 12,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri
13,quit similar vascular dementia caus deficit area brain affect stroke  alzheim diseas caus problem memori  languag  make decis  plan multistep task  gradual declin function  behavior symptom  hallucin  delus  depress  anxieti  agit  aggress  irrit  disinhibit  apathi  occur ill  folk 13,better altern risperidon  given side effect  discuss mom doc  tia develop occassion hallucin  lewi bodi dementia parkinson 13,dementia  alzheim diseas  depress  anxieti  vascular dementia  bipolar disord  schizophrenia  delirium  parkinson diseas  dementia lewi bodi  feel anxious 13,vascular dementia  parkinson diseas  dementia lewi bodi  cholinesteras inhibitor  antipsychot
14,see om ent need see om ent area evalu 14,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha 14,wisdom tooth extract  lockjaw  exercis  ulcer  aphthous stomat  stress less  headach  migrain  tooth abscess  protrud jaw  dri mouth  dental implant  dental abscess  cosmet surgeri  tooth extractor  reconstruct surgeri 14,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag
15,orthot  exercis sometim orthot cushion shoe may helpinclud soft mat surfac stand  tri keep move stand  eas  rest period  stretch shin calv period obesethi contribut lose weight would appropri  orthot 15,notic squat knee joint make weird crack nois   doesnt hurt sound like im crack knuckl  strech almost daili 15,podiatri  orthot  well lifestyl  athlet foot  knee pain  physic rehabilit  hammer toe  pain joint  arthriti  tenosynov  reactiv arthriti  ach  hammer toe repair  foot surgeri  hammerto correct  children health  foot swell  ecchymos  bruis  sprain 15,nan
16,sore throat may number problem  includ infect wisdom teeth  periodont gum bone diseas  soft tissu infect  advanc tooth decay abscess could caus pain much local soft tissu inflamm condit equal import identifi treat  see dentist oral surgeon immedi 16,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 16,tmj syndrom  dental implant  cosmet surgeri  tmj surgeri  sinus graft  head trauma  craniofaci reconstruct  open repair jawbon fractur 16,swollen gland  enlarg lymph node  enlarg gland  antibiot
17,vagu could pinch nerv  stress  hard say  would see doctor asap perform thorough histori examin  test  etc 17,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help 17,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 17,headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo
18,see doctor  concern breast health  whether pain lump anyth  see doctor discuss exam  doctor recommend test  necessari  may includ mammogram ultrasound  exampl 18,need mammogram breast ultrasound 18,cancer  lymphoma 18,breast cancer  cancer  calcium  biopsi  repeat ultrasound  ultrasound breast  sonogram  mammogram  digit mammogram
19,snore someth els snore make life stress  snore also first sign sleep apnea  much serious health problem  fortun  mani treatment option avail snore sleep apnea  see pcp consult sleep test 19,hi    way get rid snore   mom srver problem snore 19,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 19,snore  sleep apnea  snore
20,throat possibl bacteri throat infect  even though antibiot  best take doctor check throat 20,cut kitchen knife tuesday  yesterday woke sore throat difficulti  swallow  today stiff jaw tetnaus anoth infect cut 20,nan 20,throat pain  sore throat  stiff  swallow disord  difficulti swallow
21,neck pain uncommon injuri fall aggrav bring symptom under osteoarthr even symptom previous notic  talk doctor treatment option start conserv 21,bump like zit rim head peni white forev never paid attent normal wro 21,nan 21,acn  pimpl
22,see om ent need see om ent area evalu 22,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj 22,wisdom tooth extract  lockjaw  exercis  ulcer  aphthous stomat  stress less  headach  migrain  tooth abscess  protrud jaw  dri mouth  dental implant  dental abscess  cosmet surgeri  tooth extractor  reconstruct surgeri 22,dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo
23,might sinc dont know tmj dysfunct  guard may may help  fit great  sometim make thing wors  give tri uncomfort  dont wear 23,use nasal spray help treat deviat septum 23,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 23,headach  deviat nasal septum  shock  surgeri  rhinoplasti  oxymetazolin  ent head neck surgeri  ear nose throat  cartilag
24,osa yes  creat irrit  depress like symptom  poor concentr  poor memori mani other 24,sleep studi done child noth found sleep apena diagnos today think tmj seroquel chang breath talk pcp 24,sleep apnea  copd  interstiti lung diseas  sarcoidosi 24,tmj syndrom  sleep apnea  apnea  sleep studi  seroquel  quetiapin  children  sleep
25,rest  ice  elev swell surgeri normal  amount locat may  type surgeri import  postop care big factor  simpl ice elev rang motion exercis call prevent reduc swell  sometim rest alon elev feet eye level sever day  joint surgeri usual requir motion heal proper 25,anyon know  hallux valgushamm toe correct surgeri  doctor arrang plaster pari bandag upto knee 25,gait instabl  foot ankl injuri 25,bunion  hammer toe repair  bunion repair  hammerto correct  bunion remov  surgeri  hammer toe  hallux valgus  foot surgeri
