0,common surgeri relat common low risk procedur experienc ent surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1,doubt got last replythank  state  would unlik lung cancer  inde spit blood like gum issu  would unreason get cxray smoke histori  calm anxieti  state  best thing ever stop smoke 1,wife recent 3 miscarriag  2 chemic pregnanc  one 7 week  marijuana smoker 23 week   chanc weed blame 2 year old daughter 1,urinari tract infect 1,infertil  smoke  pregnanc  marijuana  ganja  cannabi
2,yes snore @ 2 bit unusu  like get wors tonsil  adenoid grow faster kid age  notic paus >10 second snore  kid nap lot day kid play  time pursu ent evalu iron issu unrel could aggrav symptom 2,7 yrs old enlarg adenoid  ent given nasonex spray   2 month two time  treatment stop snore  start snore coupl week stop med 2,child health  chickenpox  ear infect  sleep hygien  learn disord 2,cari  snore  enlarg adenoid  hypersensit  sleep apnea  surgeri  caviti  allergi  children  snore
3,high chanc high  get pregnanc test soon possibl 3,get girl pregnant low sexual bind globulin 3,nan 3,infertil  tri conceiv  sex  steroid  hormon  fertil  pregnanc
4,probabl high contagi phase cold sore hsv1 transmiss activ lesion million virus pass area bodi someon els 4,herp outbreak anus never notic vagin outbreak  still spread herp vagin sex anal 4,sleep  tmj syndrom  teeth  snore  sleep apnea  apnea  root canal  oral surgeri  dentistri  tooth pain  dental implant  cleft lip  bone loss  orthodontia 4,wound  cold sore  herp  sexual intercours  virus  herp simplex  sex  hsv
5,see dentist asap question sound like cri help sourc need obvious  see dentist evalu treat appropri  good luck 5,abcess tooth caus pain ear axillari lymph node swell 5,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 5,earach  tooth abscess  dentistri
6,complex almost way know sure  infect surgeri differ type may equat inguin henia repair  institut also lot outcom  specialti train  experi  practic focus imolport factor consid  howev also feel confid surgeon  im sorri oper  hope help 6,two week ago surgeri left inguin hernia hydrocel marsupi    left testicl posit top scrotum   drop normal posit later 6,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 6,groin hernia  lump groin  hernia  hydrocel  inguin hernia  surgeri
7,never heard ive never heard read symptom describ aura prelud either heart attack stroke  tast persist may wish check sinc could indic actual small area bleed somewher esophagus pharynx mean tast head rather realli blood  yoll need fix least figur 7,still worri chest pain even normal 2deho jan 2013  ecg  treadmil stress test im alway think heart attack stroke 7,dizzi  headach  anxieti  vertigo  migrain  sleep  tingl  pain back  migrain headach  numb  stroke  seizur  lightheaded  stress  multipl sclerosi  tremor  cerebr vascular accid  exercis  dementia  stress headach 7,stress  heart diseas  chest pain  heart attack  stroke  chest pressur  cardiac arrest  chest tight  cerebr vascular accid  myocardi infarct
8,take emycin unfortun given old medic toxic bodi  erythromycin   azithromycin good choic treat chlamydia  sinc know got erythromycin given cannot comment   azithromycin appropri 8,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help 8,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 8,human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv
9,growth hormon exert effect igf1 use stimul hair growth  differenti factor  colostrum also sometim taken induc hair growth   hair loss due colostrum isnt like discontinu use shouldnt increas hair growth  hair loss  due male pattern bald  may continu despit supplement 9,help doctor say excess ejacul masturb increas hormon level  dht product bodi caus bald depress 9,anesthesia  fit program  fit exercis  fentanyl  medit program  nutrit support  ondansetron  propofol  exercis fit program 9,bald  depress  hair loss  hormon  masturb  ejacul  dihydrotachysterol  dht  melancholia  dermatolog
10,depend need get evalu  definit  repeat mammogram done well ultrasound breast  biopsi mass best thing realli tell nodul whether malign benign  judg size  malign nodul provid evid spread anywher curabl  need know first 10,im 68 visibl blue vein left breast  noth right  mammogram 4 mos ago breast exam doc 3 mos   vein sign bc 10,cancer  chemotherapi  leukemia  lung cancer  lymphoma  colon cancer  skin cancer  melanoma  cervic cancer  mouth cancer  ovarian cancer  multipl myeloma  stomach cancer  chronic myelogen leukemia  throat cancer  oncolog  thrombocytopenia  small cell lung cancer  chronic leukemia  oral cancer 10,digit mammogram  mammogram  breast exam
11,yes lumpectomi whole breast radiat  1215% chanc breast cancer come back breast within 5 year  howev  chanc recurr much higher without radiat therapi 11,mom 72 breast cancer spread brain reciv hyperbar oxygen therapi larg knot upper thigh im concern 11,breast cancer  chemotherapi  ovarian cancer  metastat breast cancer  medic oncolog 11,hyperbar chamber  hyperbar oxygen therapi  procedur hbot
12,either either  make sure oral surgeon awar symptom  may modifi surgeri  make sure yore treat oral surgeon  best result wisdom teeth  make sure evalu treat board certifi oral  maxillofaci surgeon 12,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 12,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 12,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri
13,depend behavior symptom depend vascular damag happen  howev  later stage symptom vascular dementia alzheim diseas similar 13,better altern risperidon  given side effect  discuss mom doc  tia develop occassion hallucin  lewi bodi dementia parkinson 13,alzheim diseas  palliat care  hospit  hospic care  behavior problem 13,vascular dementia  parkinson diseas  dementia lewi bodi  cholinesteras inhibitor  antipsychot
14,see md first start see primari care physician evalu  unfortun cannot conduct proper dental medic exam internet 14,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha 14,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 14,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag
15,pain sound like great case orthot  see podiatrist   well   amaz accomplish 15,notic squat knee joint make weird crack nois   doesnt hurt sound like im crack knuckl  strech almost daili 15,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 15,nan
16,wisdom teeth sound like wisdom tooth problem  havent remov get dentist check  could also advanc caviti result tooth abcess 16,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 16,nan 16,swollen gland  enlarg lymph node  enlarg gland  antibiot
