0,common  routin remov make surgeri complic experienc surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,sinus diseas 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1,first thing first congrat quit  need get health issu address  start teeth gum  smoke wreak havoc soft tissu  im sure yove got gingiv  periodont  let local dentist examin advis need get oral health back  best 1,wife recent 3 miscarriag  2 chemic pregnanc  one 7 week  marijuana smoker 23 week   chanc weed blame 2 year old daughter 1,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1,infertil  smoke  pregnanc  marijuana  ganja  cannabi
2,pediatrician  pediatr pulmonologist ent order overnight sleep studi oximetri home  drop oxygen sleep  iron defici caus development delay  limit milk  milk product 1621 oz  day  recheck lab month iron supplement  use development screen firstsign org call state health divis earli intervent program assess 2,7 yrs old enlarg adenoid  ent given nasonex spray   2 month two time  treatment stop snore  start snore coupl week stop med 2,child health  autism  children health  autism spectrum disord  adhd  sleep  adderal  anxieti  asperg syndrom  pediatr  depress  dextroamphetamin racem amphetamin  femal health  child develop  fetal alcohol syndrom  hyperact  behavior problem 2,cari  snore  enlarg adenoid  hypersensit  sleep apnea  surgeri  caviti  allergi  children  snore
3,miss period one four normal patient conceiv per cycl  sinc alreadi miss expect mens  would wait one week expect period test 3,get girl pregnant low sexual bind globulin 3,contracept  nexplanon  sonogram  oral contracept  depo provera  obstetr gynecolog  hysteroscopi  uterin fibroid  cerclag  menopaus  lose weight  irregular bleed  essur  adolesc medicin 3,infertil  tri conceiv  sex  steroid  hormon  fertil  pregnanc
4,yes greatest problem weve hsv transmiss time lesion  care time  dont anyth show problem transmit anoth person 4,herp outbreak anus never notic vagin outbreak  still spread herp vagin sex anal 4,nan 4,wound  cold sore  herp  sexual intercours  virus  herp simplex  sex  hsv
5,see dentist definit treat  cannot self treat 5,abcess tooth caus pain ear axillari lymph node swell 5,diabet  women health  hyperlipidemia  hypertens 5,earach  tooth abscess  dentistri
6,research speak primari care provid  seek other posit experi surgeri  famili close person friend expertis experi factor opinion  review data surgeon complic failur rate data avail mani hospit  interview least two individu  limit scope practic may best 6,two week ago surgeri left inguin hernia hydrocel marsupi    left testicl posit top scrotum   drop normal posit later 6,anesthesia  fit program  fit exercis  fentanyl  medit program  nutrit support  ondansetron  propofol  exercis fit program 6,groin hernia  lump groin  hernia  hydrocel  inguin hernia  surgeri
7,sign would sign condit  may postnas drop sinus type problem  see physician symptom persist worsen 7,still worri chest pain even normal 2deho jan 2013  ecg  treadmil stress test im alway think heart attack stroke 7,nan 7,stress  heart diseas  chest pain  heart attack  stroke  chest pressur  cardiac arrest  chest tight  cerebr vascular accid  myocardi infarct
8,side effect erythromycin caus stomach discomfort pain  tri take food  may reduc side effect 8,protect sexual intercours csw one year test hiv pcr test result viral load less ldlldl10 copi ml mean help 8,nan 8,human immunodefici virus  sexual intercours  pcr  polymeras chain reaction  ldl  sex  hiv
9,must see pleas see dermatologist evalu discuss treatment option  way find type hair loss 9,help doctor say excess ejacul masturb increas hormon level  dht product bodi caus bald depress 9,nan 9,bald  depress  hair loss  hormon  masturb  ejacul  dihydrotachysterol  dht  melancholia  dermatolog
10,im exact sure question ask  enlarg breast lump need evalu doctor  seen 2009 mammo followup 10,im 68 visibl blue vein left breast  noth right  mammogram 4 mos ago breast exam doc 3 mos   vein sign bc 10,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 10,digit mammogram  mammogram  breast exam
11,yes howev  chanc recurr much reduc radiat  reason radiat standard care breast conserv surgeri  chanc local recurr reduc 2 3 11,mom 72 breast cancer spread brain reciv hyperbar oxygen therapi larg knot upper thigh im concern 11,radiat therapi  breast cancer  prostat cancer  lung cancer  pancreat cancer 11,hyperbar chamber  hyperbar oxygen therapi  procedur hbot
12,yes  tmj syndrom common symptom include: ear pain  muffl nois full  also jaw pop click  see dentist evalu proper treatment 12,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 12,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 12,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri
13,dementia alzheim vascular dementia often coexist  treatment similar  cognit memori dysfunct  progress vascular dementia stairstep alzheim  gradual  dementia singl larg stroke look differ smallvessel diseas  possibl frequenc depress vascular dementia 13,better altern risperidon  given side effect  discuss mom doc  tia develop occassion hallucin  lewi bodi dementia parkinson 13,nan 13,vascular dementia  parkinson diseas  dementia lewi bodi  cholinesteras inhibitor  antipsychot
14,ent om need see ent oral surgeon foe evalu possibl biopsi 14,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha 14,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 14,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag
15,shin  calf watch overus possibl stress fractur  vari activ includ time feet  possibl  also weight control  well arch shoe 15,notic squat knee joint make weird crack nois   doesnt hurt sound like im crack knuckl  strech almost daili 15,exercis  well lifestyl  sport medicin  knee pain  knee replac  vitamin supplement  total knee replac  total hip replac  weight manag  tendon  patella  sport injuri  acl reconstruct  hip repair  arthroplasti  partial knee replac  sport fit  orthoped brace 15,nan
16,possibl could caus thing besid caviti  gum diseas  necrot tooth  viral infect  see dentist rule tooth gum relat caus see doctor follow 16,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 16,teeth  root canal  dental care  tooth pain  dental health  hsv  gum diseas  antibiot  dental xray 16,swollen gland  enlarg lymph node  enlarg gland  antibiot
17,check md symptom heart relat problem evalu medic doctor asap 17,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help 17,dental care  dental pain  dental health 17,headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo
18,huh need mammogram doctor feel lump breast  40  1st degre relat mother sister breast cancer  choos start mammogram 10 year younger age relat diagnos age 40  whatev come first  dream could fli  jump grand canyon 18,need mammogram breast ultrasound 18,cancer  ct scan  breast diseas 18,breast cancer  cancer  calcium  biopsi  repeat ultrasound  ultrasound breast  sonogram  mammogram  digit mammogram
19,sure snore sound turbul airflow  thing may help reduc decibel reduc overal snore may bodi posit chang like avoid sleep back     could involv pillow position  also improv nasal congest narrow  recommend lot sinus rins medic ph balanc salt solut nasal spray help congest 19,hi    way get rid snore   mom srver problem snore 19,insomnia  narcolepsi  restless leg syndrom  copd  sleep apnea 19,snore  sleep apnea  snore
20,sore throat long amoxicillin new fever pain feel like someth throat full would encourag continu give antibiot  encourag hydrat  monitor symptom  worsen doesnt resolv within 72ish hour start antibiot get reevalut 20,cut kitchen knife tuesday  yesterday woke sore throat difficulti  swallow  today stiff jaw tetnaus anoth infect cut 20,children health  bruis  cough  acn  pimpl  ecchymos  abnorm blood pressur  cold sore  adenoid  itchi rash  enlarg adenoid  gum bleed 20,throat pain  sore throat  stiff  swallow disord  difficulti swallow
21,neck pain know age definit develop arthriti cervic facet joint  fell like trigger  becam evid  need ray confirm  see chiropractor adjust  help tri pt see pain specialist  cervic epidur might helpful 21,bump like zit rim head peni white forev never paid attent normal wro 21,nan 21,acn  pimpl
